id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	4.5269e-10	4.6703e-06	0.00495	1	16	-2.0114	1.0	1.0	0.999995	1060	0	-2.0114
RRM1	16	5.1772e-07	1.4011e-05	0.00495	2	15	-2.0879	0.99971	0.99971	0.999995	1054	0	-2.0879
RPL14	6	3.1941e-06	1.4011e-05	0.00495	3	5	-2.8371	0.9191	0.92008	0.999995	933	0	-2.8371
POLR2L	8	5.6243e-06	4.2033e-05	0.008911	4	6	-2.8427	0.8259	0.82562	0.999995	831	0	-2.8427
PSMB3	7	7.0077e-06	4.2033e-05	0.008911	5	6	-2.6219	0.99203	0.99166	0.999995	1030	0	-2.6219
DYNLRB1	7	9.1894e-06	5.1373e-05	0.009076	6	6	-2.346	0.9944	0.99407	0.999995	1035	0	-2.346
TSG101	8	1.4132e-05	0.0001261	0.014356	7	8	-1.2639	0.99999	1.0	0.999995	1059	0	-1.2639
VCP	8	1.4518e-05	0.00013544	0.014356	8	6	-2.5147	0.98869	0.98842	0.999995	1022	0	-2.5147
RPL8	8	1.5734e-05	0.00013544	0.014356	9	6	-2.4575	0.42285	0.42246	0.999995	424	0	-2.4575
CKAP5	16	1.6934e-05	0.00024752	0.021865	10	14	-1.4609	0.97699	0.97756	0.999995	1006	0	-1.4609
RPL5	7	1.7752e-05	7.0054e-05	0.010608	11	7	-2.65	0.99998	0.99999	0.999995	1058	0	-2.65
RPL31	5	3.1953e-05	0.00016346	0.015752	12	5	-2.7045	0.99991	0.99991	0.999995	1056	0	-2.7045
ATP6V1B2	8	3.8089e-05	0.00033159	0.024092	13	8	-1.9234	0.99996	0.99996	0.999995	1057	0	-1.9234
CCND1	8	4.06e-05	0.00034093	0.024092	14	8	-2.4809	0.99943	0.99929	0.999995	1052	0	-2.4809
PRPF38A	8	4.1355e-05	0.00034093	0.024092	15	6	-2.4259	0.12108	0.17137	0.999995	172	1	-2.4259
CLTC	8	6.4519e-05	0.00049972	0.026485	16	6	-2.1337	0.99083	0.99059	0.999995	1026	0	-2.1337
EIF3B	8	6.5183e-05	0.00049972	0.026485	17	8	-2.4539	0.99991	0.99989	0.999995	1055	0	-2.4539
PRKDC	16	6.8647e-05	0.00079862	0.035272	18	13	-1.5553	0.65951	0.658	0.999995	672	0	-1.5553
RPS11	7	7.7534e-05	0.00044368	0.026485	19	6	-1.7593	0.96149	0.96122	0.999995	987	0	-1.7593
ATP6V1D	8	8.0908e-05	0.00059313	0.029939	20	8	-1.6261	0.9994	0.99926	0.999995	1051	0	-1.6261
RPL11	7	9.0055e-05	0.00048104	0.026485	21	6	-2.301	0.058366	0.10086	0.986321	108	1	-2.301
RAN	7	9.2554e-05	0.00049038	0.026485	22	4	-2.0623	0.41756	0.41744	0.999995	417	0	-2.0623
GSDMD	8	9.4474e-05	0.00069587	0.032071	23	7	-1.9976	0.99449	0.99449	0.999995	1036	0	-1.9976
CHORDC1	6	0.00011819	0.00066785	0.032071	24	4	-2.6658	0.34719	0.34671	0.999995	359	0	-2.6658
BUB3	8	0.00015788	0.0010135	0.041318	25	6	-2.102	0.90505	0.90441	0.999995	924	0	-2.102
SF3B3	8	0.00018773	0.0012189	0.046146	26	7	-1.9253	0.96476	0.96434	0.999995	991	0	-1.9253
SNRPD3	8	0.00018776	0.0012189	0.046146	27	7	-2.0104	0.63634	0.63738	0.999995	643	0	-2.0104
EIF4A3	8	0.00024498	0.0014992	0.054797	28	5	-1.6373	0.89982	0.89976	0.999995	919	0	-1.6373
RPS15	4	0.00025718	0.00090136	0.038218	29	2	-2.1414	0.47676	0.47389	0.999995	476	0	-2.1414
CDS2	8	0.00028385	0.0018448	0.065182	30	7	-2.0005	0.92285	0.92236	0.999995	940	0	-2.0005
RRM2	7	0.00036147	0.0020409	0.069786	31	5	-1.9128	0.22583	0.23886	0.999995	249	1	-1.9128
TUBB	6	0.00043203	0.0023305	0.077197	32	6	-2.1641	0.9986	0.99862	0.999995	1047	0	-2.1641
DDX5	8	0.00043454	0.0029189	0.090897	33	6	-1.1117	0.36146	0.36308	0.999995	374	1	-1.1117
NRBP2	8	0.00044863	0.0029843	0.090897	34	7	-1.3982	0.93024	0.92939	0.999995	948	0	-1.3982
POLR2F	8	0.00052867	0.0033112	0.094301	35	6	-1.6439	0.86352	0.86295	0.999995	876	0	-1.6439
CTR9	8	0.00054505	0.003442	0.094301	36	6	-1.5399	0.87037	0.86973	0.999995	885	0	-1.5399
CLNS1A	7	0.0005486	0.0030871	0.090897	37	7	-2.2878	0.99945	0.99945	0.999995	1053	0	-2.2878
CDK2	8	0.00055302	0.0035167	0.094301	38	5	-2.0291	0.75724	0.75713	0.999995	772	0	-2.0291
MBTD1	8	0.00057687	0.0036475	0.094301	39	7	-1.8353	0.99127	0.99106	0.999995	1027	0	-1.8353
NAA10	8	0.00057874	0.0036475	0.094301	40	4	-0.74259	0.106	0.16039	0.999995	163	1	-0.74259
MED13L	8	0.00060984	0.0038343	0.095441	41	6	-1.8854	0.86818	0.86762	0.999995	880	0	-1.8854
NAE1	16	0.00061624	0.0055716	0.115302	42	10	-0.86564	0.25056	0.36239	0.999995	272	1	-0.86564
PPP4C	8	0.00062364	0.0038717	0.095441	43	5	-0.97435	0.58887	0.58928	0.999995	590	0	-0.97435
RPS8	5	0.000638	0.0030871	0.090897	44	4	-2.742	0.97312	0.97308	0.999995	999	0	-2.742
RPP21	8	0.00065219	0.0040118	0.096647	45	7	-1.7407	0.99619	0.99615	0.999995	1039	0	-1.7407
DDI2	8	0.00076875	0.0046936	0.110561	46	4	-0.64128	0.93456	0.93381	0.999995	953	0	-0.64128
CPSF3	8	0.00083696	0.0050205	0.113229	47	8	-1.2167	0.99916	0.99906	0.999995	1050	0	-1.2167
E2F3	7	0.00085754	0.0050205	0.113229	48	6	-2.1032	0.93229	0.93187	0.999995	950	0	-2.1032
RSBN1L	8	0.00090139	0.0054035	0.115302	49	8	-1.4606	0.9991	0.99901	0.999995	1049	0	-1.4606
ILF3	8	0.00090487	0.0054409	0.115302	50	6	-1.7801	0.063788	0.10957	0.994677	118	1	-1.7801
NDUFB4	8	0.00091684	0.0055156	0.115302	51	6	-1.651	0.5944	0.59476	0.999995	598	0	-1.651
POLD1	8	0.00096479	0.0057304	0.115302	52	6	-1.4645	0.71956	0.71924	0.999995	737	0	-1.4645
TACC3	8	0.00099617	0.0058705	0.115302	53	6	-1.9104	0.97404	0.97338	0.999995	1000	0	-1.9104
PMPCB	8	0.0010033	0.0058799	0.115302	54	6	-2.0269	0.50122	0.50144	0.999995	505	0	-2.0269
ACTL6A	8	0.0010202	0.0059826	0.115302	55	6	-1.4965	0.2085	0.23553	0.999995	241	1	-1.4965
PPP2CA	16	0.0011085	0.0092985	0.14934	56	12	-1.2527	0.65404	0.6527	0.999995	662	1	-1.2527
NAPA	8	0.0011536	0.0067859	0.127454	57	8	-1.3324	0.99885	0.99883	0.999995	1048	0	-1.3324
GALNT5	8	0.001204	0.0069914	0.127454	58	6	-1.4115	0.9375	0.93681	0.999995	954	0	-1.4115
XRCC6	7	0.001204	0.0070755	0.127454	59	6	-1.7446	0.32927	0.33102	0.999995	347	1	-1.7446
AHCYL1	8	0.0012198	0.0070942	0.127454	60	7	-1.3829	0.95466	0.95386	0.999995	979	0	-1.3829
RPL36	8	0.0012574	0.007365	0.130116	61	6	-1.3845	0.97965	0.97922	0.999995	1012	0	-1.3845
SFPQ	8	0.0013061	0.0077013	0.133104	62	4	-1.1429	0.16659	0.20381	0.999995	208	1	-1.1429
ALDOA	8	0.0013338	0.0077854	0.133104	63	7	-1.6153	0.98717	0.987	0.999995	1021	0	-1.6153
VMP1	8	0.0014037	0.008159	0.137278	64	7	-1.2854	0.99398	0.99394	0.999995	1034	0	-1.2854
HMGCS1	7	0.0014982	0.0086073	0.142559	65	6	-1.503	0.99152	0.99118	0.999995	1028	0	-1.503
RIC8A	8	0.0015488	0.0091024	0.148439	66	7	-1.4444	0.98907	0.98871	0.999995	1023	0	-1.4444
POLR2B	8	0.0017045	0.010055	0.15777	67	7	-1.3195	0.99174	0.99157	0.999995	1029	0	-1.3195
COPA	8	0.0017352	0.010205	0.15777	68	7	-1.4346	0.97513	0.97452	0.999995	1004	0	-1.4346
EP300	8	0.0017421	0.01027	0.15777	69	6	-1.5854	0.92644	0.92562	0.999995	943	0	-1.5854
RBBP4	7	0.0018608	0.010438	0.158062	70	6	-1.8092	0.053714	0.093541	0.986321	98	1	-1.8092
ADSS	7	0.002031	0.011335	0.169223	71	6	-1.0062	0.99531	0.99498	0.999995	1037	0	-1.0062
TRRAP	8	0.0021811	0.012362	0.177081	72	7	-1.7268	0.99771	0.99765	0.999995	1044	0	-1.7268
SMC1A	8	0.0022782	0.01282	0.178025	73	6	-1.724	0.84306	0.8426	0.999995	853	0	-1.724
RPP14	8	0.002308	0.012932	0.178025	74	5	-1.7067	0.91713	0.91643	0.999995	932	0	-1.7067
RBMX	7	0.0023178	0.012811	0.178025	75	6	-1.6244	0.39675	0.39681	0.999995	399	0	-1.6244
SNRPB	8	0.0024127	0.013287	0.180566	76	4	-0.59049	0.2608	0.27687	0.999995	284	1	-0.59049
INTS6	6	0.0024278	0.01211	0.177081	77	5	-1.9921	0.95009	0.95059	0.999995	968	0	-1.9921
DGKZ	6	0.0024416	0.012241	0.177081	78	5	-1.4011	0.95043	0.951	0.999995	970	0	-1.4011
NCBP2	8	0.0026842	0.014426	0.188522	79	5	-1.3387	0.37454	0.37548	0.999995	387	1	-1.3387
GRHL2	8	0.0027219	0.014604	0.188522	80	7	-1.5494	0.13839	0.18322	0.999995	187	1	-1.5494
TOP1MT	8	0.0028006	0.01494	0.188522	81	6	-1.8341	0.54829	0.54821	0.999995	551	0	-1.8341
SLC25A28	8	0.0028306	0.015062	0.188522	82	6	-1.6517	0.74651	0.74587	0.999995	767	0	-1.6517
DHX9	6	0.0028411	0.013931	0.186928	83	5	-1.4426	0.94003	0.94079	0.999995	962	0	-1.4426
RP1	8	0.0028506	0.015136	0.188522	84	5	-1.2977	0.722	0.72148	0.999995	738	0	-1.2977
ATP5F1D	8	0.0028627	0.015202	0.188522	85	6	-1.3716	0.71772	0.7175	0.999995	733	0	-1.3716
SF3B1	8	0.0029005	0.015295	0.188522	86	7	-1.548	0.36397	0.36568	0.999995	377	1	-1.548
CAVIN1	8	0.0029742	0.015594	0.188619	87	5	-1.2774	0.98654	0.9864	0.999995	1018	0	-1.2774
