gene	MP46.D28A	MP46.D28B	MP46.D28C	MP46.D64A	MP46.D64B	MP46.D64C
ABCA3	0.21755273408484	0.520768729109557	-0.00820269537488254	-1.10781290523221	0.425560321932573	-1.03718144531423
ABCB1	-0.0147501372223331	0.574201679662261	-0.0728970270977924	-0.770047567219964	0.568928961429756	-1.77042635925216
ABCC3	-0.127327291707319	-0.175198372025782	-0.67737935457405	-1.24997828111365	-1.52744141146424	-2.90920430273489
ABCG2	0.313380047856631	-0.00394801494548287	-0.137526962406126	0.0019943986409644	-1.72555768986575	-1.14411889639593
ABL1	0.073892738791592	-0.100104107107967	-0.0767198246941027	-1.12174769305442	-1.26452996703428	-0.784550053332464
ABL2	-0.472091920028852	-0.1134435075721	-0.173575152170488	-2.55613247425665	-1.73466409663101	-1.42256020398569
ABT1	-0.960358656125607	-0.749202416170223	-0.524640934444538	-1.80771005602648	-2.12442154675401	-2.45094055168256
ABTB2	0.0929444190948362	0.350113411417552	-0.482727766785075	-0.475934209697746	1.16076150386309	-2.36938230935656
ACACA	-0.438496262040865	-0.437037460652457	-0.692630731375016	-1.24949834712603	-2.32382107036095	-2.500761819769
ACACB	0.147552958923077	0.35969609954097	0.0808298911026275	-1.51697837546831	-0.760694742134863	-0.929271843249938
ACTL6A	-1.06292473082143	-1.29965127879722	-1.09271474186363	-2.88154273849939	-3.11540968155733	-3.55499026389645
ACTL6B	-0.340643179257969	-0.314632278022986	-0.107158535391488	-2.3975229380889	-0.943218080435425	-1.79872686479961
ACTL7A	0.103197386722261	0.657388737300201	-0.274232762888245	-1.4488324578868	-0.733871031926299	-2.55431998039205
ADAM19	0.440993690761503	0.0204800020953017	0.08193094740468	0.0946298533032812	-0.316554360611046	-1.82018938047054
ADAP1	-0.192887220666242	-0.338674590129277	-0.643024620877527	-2.74520905009242	-2.91091472939993	-3.53070628987568
ADAP2	0.118306531263013	-0.205416811918364	-0.303413648082987	-0.749882076461049	-2.05411441670358	-2.23011695706052
ADARB1	-0.34618962641404	-0.247726623550507	-0.0254390507580765	-1.77400961457589	-1.19588429543304	-1.76986534239295
ADARB2	0.164457048437794	0.218655182007255	0.0289014136356137	-1.13953338588913	-0.864537163758904	-0.315584318214048
ADGRG7	0.32160861171106	-0.236621488074139	-0.191592770839908	-0.476831821069375	-2.09915495192291	-2.63662072419558
ADM	-0.267431982814441	0.244545625544779	0.0214008060341168	-1.1234931579884	-0.410198874607889	-1.36232403272981
ADSS	-1.45263377713472	-1.13485180397819	-1.01119960470215	-4.0998203962724	-3.93594278610493	-2.80061218758768
ADSSL1	-0.0797871144794198	0.126760134309922	0.243987151386626	-0.946575859555452	-0.491620704441398	-0.876628634715297
AFG3L2	-0.83952569324323	-0.597639837887569	-0.829957602107721	-3.1818519734674	-3.23395121412905	-2.0834772521232
AHCYL1	-0.831336637002492	-0.832509190819832	-0.606854174109348	-3.32389754240563	-2.49197495716428	-2.26934111960142
AHCYL2	0.0540408518970848	-0.181053466352559	-0.242611129202443	-2.49215940003508	-2.17070195689392	-1.94687107173024
AIPL1	-0.0256458132316734	-0.192858684572878	0.546902202966701	-1.99837151191521	-1.72214074389146	-0.613148401580271
AKAP11	-0.123823038038324	0.23751208171073	-0.117773898002192	-1.91066511110325	-1.16442085359954	-1.36494523497727
AKIRIN1	-0.300492323316609	-0.678855977858356	0.0718996779341851	-1.89299855365956	-2.53773084612331	-1.09645371858432
AKIRIN2	-0.871566481512696	-1.07968292914236	-0.772223064886019	-2.65249918318589	-2.97014950368286	-3.47080601257578
ALAS1	-0.0661869640993944	-0.163812563551289	-0.128879221627798	-2.05814837067544	-2.13033177745079	-1.6961475325932
ALAS2	-0.332658721567223	0.0577860005552414	-0.103394846606485	-1.0075480867682	-1.84777180897613	-0.862227832419193
ALDOA	-1.01200420139445	-0.652791121657624	-0.820394397540779	-3.13487970583866	-3.28086204323115	-3.34061133131527
ALDOC	-0.523459299804076	-0.221022400228353	-0.314795379869464	-2.20406622441988	-2.55317625347419	-2.09853934014061
ALG14	-0.214468267466303	-0.579994067227115	-0.515618111649371	-1.00186271162885	-2.21725661622729	-2.75620865880851
AMELX	0.353558631477018	0.780073525484017	0.193324189356953	-0.544809513172209	1.28700572225951	-2.06647544462277
ANAPC4	-0.532377144230162	-1.10789370360463	-1.38147914075822	-1.62008796541627	-2.95015848429638	-2.83459748757353
ANKRD10	-0.134582398428254	0.0400675228496009	-0.117245864240694	-1.4745525519951	-1.24153926186216	-1.50677711915919
ANKRD37	0.162991194182626	-0.138177324159378	0.347559669730454	-1.17420077860768	-1.84821692692437	-0.431647269043081
