gene	BF
ABCA3	-0.757135416666667
ABCB1	-0.595114583333333
ABCC3	-0.64453125
ABCG2	-0.24878125
ABL1	-0.720635416666667
ABL2	-0.382489583333333
ABT1	2.87619791666667
ABTB2	-0.61528125
ACACA	6.01348958333333
ACACB	-0.634364583333333
ACTL6A	6.37623958333333
ACTL6B	-0.250239583333333
ACTL7A	-1.03378125
ADAM19	-0.752614583333333
ADAP1	-0.392364583333333
ADAP2	-0.61596875
ADARB1	-0.826260416666666
ADARB2	-1.41373958333333
ADGRG7	-1.03273958333333
ADM	-0.77971875
ADSS	0.76190625
ADSSL1	0.398739583333333
AFG3L2	5.77179513888889
AHCYL1	3.84188541666667
AHCYL2	-0.336197916666667
AIPL1	-0.658864583333334
AKAP11	-0.73315625
AKIRIN1	1.13655208333333
AKIRIN2	3.80230208333333
ALAS1	-1.08614583333333
ALAS2	-0.766864583333333
ALDOA	6.57278125
ALDOC	0.473427083333333
ALG14	1.91940625
AMELX	-1.37805208333333
ANAPC4	3.62059375
ANKRD10	-1.03178125
ANKRD37	-1.28780208333333
ANXA1	-0.81971875
AOX1	-0.27271875
AP1G1	-0.40765625
AP1G2	0.555302083333333
AP2A1	1.45009375
AP2A2	-0.29340625
AP3M1	-1.21784375
AP5M1	-0.857677083333333
APH1A	1.13967708333333
APH1B	0.346822916666667
APOBEC1	-1.00278125
APOBEC3C	0.0408854166666666
AQP8	-1.19617708333333
ARFGEF1	-0.63471875
ARFGEF2	-0.35271875
ARFIP1	-0.240677083333333
ARFIP2	-0.34678125
ARHGEF3	-1.43657291666667
ARHGEF6	-1.15923958333333
ARHGEF7	-0.821010416666667
ARID1A	2.28103125
ARID1B	-0.72953125
ARID4A	0.260385416666667
ARPC5	-0.289385416666667
ARPC5L	1.55296875
ARSJ	-0.96890625
ASCL1	-1.15103125
ASF1A	1.19609375
ASF1B	0.713614583333333
ATAD2	-0.618885416666667
ATAD2B	-0.451864583333333
ATM	-0.295927083333333
ATOH1	-1.10871875
ATP5F1A	5.63609375
ATP5F1B	4.78165625
ATP5F1D	3.68730208333333
ATP5PB	1.98896875
ATP6V1B1	-0.0626145833333334
ATP6V1B2	5.00048958333333
ATP6V1C1	4.68117708333333
ATP6V1C2	-0.189458333333333
ATP6V1D	5.09661458333333
ATP6V1E1	2.78702529761905
ATP6V1E2	0.376947916666667
ATP7A	2.92126041666667
ATP7B	-0.551322916666666
ATP8B3	-0.630552083333333
ATR	4.40742708333333
AXL	-0.65084375
BAP1	4.25542708333333
BARHL1	-1.50928125
BATF3	-0.585177083333333
BCAP31	0.157177083333333
BECN1	2.09236458333333
BECN2	-0.93621875
BICD1	-0.54490625
BICD2	0.55165625
BRD8	1.72115625
BRSK1	-0.895447916666666
BRSK2	-0.677614583333333
BTBD11	-0.83715625
BTG1	-1.47659375
BUB1B	4.72105208333333
BUB3	10.36490625
BZW1	0.0972118055555555
BZW2	0.363614583333333
CAB39	-3.03784375
CAB39L	-0.724427083333333
CABP5	-0.271822916666667
CADPS	-1.33026041666667
CADPS2	0.00455208333333323
CALY	-0.851552083333333
CAND1	2.77513541666667
CAND2	-0.154489583333333
CAP1	1.53169791666667
CAP2	-0.69971875
CAPN2	-0.66646875
CASP4	-1.15880208333333
CAT	-0.720052083333333
CAV1	-0.519177083333334
CAVIN1	-0.366697916666667
CBLL1	2.18832291666667
CBLL2	-1.53767708333333
CCDC69	-0.745802083333333
CCND1	5.73728125
CCND3	-0.116322916666667
CCNE1	-0.206802083333333
CCNE2	-1.23311458333333
CCNL1	2.40859375
CCNL2	-0.982989583333333
CCNT1	-0.625822916666667
CCNT2	-0.172427083333333
CCT6A	6.45835863095238
CCT6B	0.50103125
CD163L1	-0.941447916666667
CD44	-1.02278125
CD72	-0.425364583333333
CDC34	0.416614583333333
CDIPT	7.49519791666667
CDK16	-1.28032291666667
CDK17	0.641489583333333
CDK19	-0.491197916666667
CDK2	2.26563541666667
CDK5R1	0.44559375
CDK5R2	-0.190614583333333
CDK7	7.53385863095238
CDK8	0.04640625
CDNF	-0.673677083333333
CDS1	-0.44446875
CDS2	4.73421875
CEACAM1	-0.349510416666666
CELA2A	-0.58746875
CFL1	2.72459375
CHM	-1.63134375
CHML	-0.821927083333333
CHMP1A	1.86259375
CHMP1B	-1.01198958333333
CHORDC1	6.99287847222222
CHRNB3	-1.10115625
CHSY1	-1.50130208333333
CHSY3	-0.59984375
CHUK	-0.118427083333333
CKAP5	7.397875
CLASP1	0.208010416666667
CLASP2	-0.995947916666667
CLCA1	-1.49928125
CLDN4	-0.19571875
CLIP4	-0.68253125
CLNS1A	7.95662053571429
CLTA	-0.0591979166666665
CLTB	0.09221875
CLTC	7.10521875
CLTCL1	0.0888854166666666
CNOT6	-1.21973958333333
CNOT6L	-1.39859375
CNOT7	-0.329974702380952
CNOT8	-0.991736607142857
COPA	9.19782291666667
COPG1	2.73651041666667
COPG2	-0.533427083333333
COPS7A	0.984572916666667
COPS7B	-0.623739583333333
COPZ1	3.25234375
COPZ2	-1.43273958333333
COQ10A	-0.0969270833333333
COQ10B	-0.884739583333333
