id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	16	5.4725e-16	4.6703e-06	0.000155	1	16	-4.2625	1.0	1.0	0.999995	1060	0	-4.2625
MYC	16	4.272e-13	4.6703e-06	0.000155	2	16	-1.9669	1.0	1.0	0.999995	1059	0	-1.9669
NAE1	16	1.5309e-11	4.6703e-06	0.000155	3	15	-2.4559	0.99718	0.99934	0.999995	957	1	-2.4559
CKAP5	16	3.1666e-11	4.6703e-06	0.000155	4	15	-2.8	1.0	1.0	0.999995	1051	0	-2.8
BUB3	8	7.4951e-10	4.6703e-06	0.000155	5	8	-3.8108	1.0	1.0	0.999995	1058	0	-3.8108
KIF11	8	1.1338e-09	4.6703e-06	0.000155	6	8	-3.6384	1.0	1.0	0.999995	1057	0	-3.6384
RPL3	14	6.1587e-09	4.6703e-06	0.000155	7	11	-2.5387	0.14485	0.42645	0.959404	417	3	-2.5387
SF3B3	8	7.6201e-09	4.6703e-06	0.000155	8	8	-3.7778	1.0	1.0	0.999995	1056	0	-3.7778
TOMM40	14	9.6275e-09	4.6703e-06	0.000155	9	13	-2.18	0.77465	0.94465	0.999995	824	1	-2.18
POLR2L	8	2.1872e-08	4.6703e-06	0.000155	10	8	-4.2724	1.0	1.0	0.999995	1055	0	-4.2724
MTG2	8	3.3805e-08	4.6703e-06	0.000155	11	8	-1.6962	1.0	1.0	0.999995	1054	0	-1.6962
RPL36	8	3.7188e-08	4.6703e-06	0.000155	12	8	-2.5108	1.0	1.0	0.999995	1053	0	-2.5108
COPA	8	3.9357e-08	4.6703e-06	0.000155	13	8	-3.5243	1.0	1.0	0.999995	1048	0	-3.5243
CDIPT	8	5.7455e-08	4.6703e-06	0.000155	14	7	-3.4744	0.90386	0.95567	0.999995	869	1	-3.4744
PRPF8	8	6.6301e-08	4.6703e-06	0.000155	15	8	-3.094	1.0	1.0	0.999995	1042	0	-3.094
NAA10	8	7.5085e-08	4.6703e-06	0.000155	16	8	-3.825	1.0	1.0	0.999995	1038	0	-3.825
PPP4C	8	9.3056e-08	4.6703e-06	0.000155	17	8	-2.3093	1.0	1.0	0.999995	1052	0	-2.3093
TOP2A	8	1.2089e-07	4.6703e-06	0.000155	18	8	-3.686	1.0	1.0	0.999995	1050	0	-3.686
INTS6	6	1.3124e-07	4.6703e-06	0.000155	19	6	-4.1553	1.0	1.0	0.999995	1049	0	-4.1553
SF3B1	8	1.3137e-07	4.6703e-06	0.000155	20	8	-2.7357	1.0	1.0	0.999995	1045	0	-2.7357
CDK7	7	1.4218e-07	4.6703e-06	0.000155	21	7	-3.2642	1.0	1.0	0.999995	1047	0	-3.2642
ALDOA	8	1.647e-07	4.6703e-06	0.000155	22	8	-2.5134	1.0	1.0	0.999995	1046	0	-2.5134
CTR9	8	2.0786e-07	4.6703e-06	0.000155	23	8	-2.8451	1.0	1.0	0.999995	1044	0	-2.8451
MED18	16	3.3386e-07	1.4011e-05	0.000338	24	13	-2.1744	0.44507	0.78874	0.999995	681	2	-2.1744
RPS19	8	3.8602e-07	4.6703e-06	0.000155	25	8	-2.5918	1.0	1.0	0.999995	1043	0	-2.5918
COX6B1	16	3.9984e-07	1.4011e-05	0.000338	26	13	-1.5427	0.87106	0.97678	0.999995	858	1	-1.5427
AKIRIN2	8	4.2646e-07	4.6703e-06	0.000155	27	8	-1.3264	1.0	1.0	0.999995	1041	0	-1.3264
CCND1	8	4.5719e-07	4.6703e-06	0.000155	28	8	-1.9912	1.0	1.0	0.999995	1040	0	-1.9912
CPSF3	8	5.645e-07	4.6703e-06	0.000155	29	8	-2.7513	1.0	1.0	0.999995	1039	0	-2.7513
RPP21	8	6.6406e-07	4.6703e-06	0.000155	30	8	-2.5621	1.0	1.0	0.999995	1024	0	-2.5621
ILF3	8	6.8046e-07	4.6703e-06	0.000155	31	7	-2.5935	0.95238	0.9732	0.999995	892	1	-2.5935
STT3B	8	9.1246e-07	4.6703e-06	0.000155	32	8	-1.5569	1.0	1.0	0.999995	1037	0	-1.5569
HMGCS1	7	1.1082e-06	1.4011e-05	0.000338	33	7	-3.5069	1.0	1.0	0.999995	1036	0	-3.5069
VMP1	8	1.1189e-06	4.6703e-06	0.000155	34	8	-1.926	1.0	1.0	0.999995	1035	0	-1.926
RPL8	8	1.213e-06	4.6703e-06	0.000155	35	7	-4.5552	0.99711	0.99699	0.999995	956	0	-4.5552
CLTC	8	1.2747e-06	1.4011e-05	0.000338	36	8	-2.636	1.0	1.0	0.999995	1028	0	-2.636
DYNLRB1	7	1.3527e-06	1.4011e-05	0.000338	37	7	-2.0134	1.0	1.0	0.999995	1034	0	-2.0134
PSMB3	7	1.3862e-06	1.4011e-05	0.000338	38	7	-3.7282	1.0	1.0	0.999995	1033	0	-3.7282
TOP1	8	1.5544e-06	1.4011e-05	0.000338	39	8	-1.01	1.0	1.0	0.999995	1032	0	-1.01
EIF3B	8	1.6655e-06	1.4011e-05	0.000338	40	8	-2.4171	1.0	1.0	0.999995	1031	0	-2.4171
MED20	8	1.6793e-06	1.4011e-05	0.000338	41	8	-2.4635	1.0	1.0	0.999995	1023	0	-2.4635
TIMM10	8	1.7093e-06	1.4011e-05	0.000338	42	8	-2.9547	0.99999	1.0	0.999995	1021	0	-2.9547
RRM2	7	1.8508e-06	2.3351e-05	0.000505	43	5	-2.8543	0.64429	0.83053	0.999995	771	1	-2.8543
RIC8A	8	1.96e-06	1.4011e-05	0.000338	44	8	-1.7998	1.0	1.0	0.999995	1029	0	-1.7998
ACACA	8	2.1417e-06	2.3351e-05	0.000505	45	8	-2.5628	1.0	1.0	0.999995	1030	0	-2.5628
HSCB	8	2.2797e-06	2.3351e-05	0.000505	46	7	-2.0429	0.86006	0.93754	0.999995	851	1	-2.0429
RBBP4	7	2.4513e-06	2.3351e-05	0.000505	47	6	-2.7717	0.29619	0.55493	0.999995	576	1	-2.7717
RPS11	7	2.5347e-06	2.3351e-05	0.000505	48	7	-3.2222	1.0	1.0	0.999995	1027	0	-3.2222
ATP5F1B	8	2.7204e-06	3.2692e-05	0.000693	49	8	-1.8981	1.0	1.0	0.999995	1026	0	-1.8981
ATP5F1A	8	3.3552e-06	4.2033e-05	0.000796	50	8	-1.6956	1.0	1.0	0.999995	1025	0	-1.6956
VCP	8	3.9923e-06	4.2033e-05	0.000796	51	7	-3.0527	0.97974	0.98262	0.999995	913	1	-3.0527
MRPL41	8	4.2224e-06	4.2033e-05	0.000796	52	7	-1.7685	0.99993	0.99994	0.999995	1002	0	-1.7685
RPS23	6	4.3437e-06	1.4011e-05	0.000338	53	6	-3.313	1.0	1.0	0.999995	1022	0	-3.313
SNRPD3	8	4.7375e-06	4.2033e-05	0.000796	54	7	-3.1755	0.51424	0.76594	0.999995	730	1	-3.1755
LONP1	8	5.0118e-06	4.2033e-05	0.000796	55	7	-2.6111	0.80645	0.91914	0.999995	833	1	-2.6111
PRPF38A	8	6.7747e-06	5.1373e-05	0.000908	56	7	-4.4413	0.14166	0.36222	0.929674	412	1	-4.4413
