gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
ABCA3	0.297003252029147	0.419334632865841	0.591464976142561	0.259127754904991	0.356294192221056	0.399432073163281
ABCB1	0.204600696305989	0.329276227215346	0.4151312271238	0.0107781907184571	0.467100200054372	0.407933184773097
ABCC3	0.262442914108096	0.381385669807621	0.327173430502843	0.0428706905944739	0.802724208956464	0.229377643669609
ABCG2	0.0791860386667566	0.150874163343261	0.145581523468379	0.394358787087184	0.123194583547255	0.152596113667315
ABL1	0.380330695220759	0.301917396847592	0.310675350597511	0.45810432372637	0.506262738001378	0.308909584462493
ABL2	0.327702248181823	0.0994152358080041	0.218198240312698	0.523500118133508	0.0563716470860999	0.197219296682976
ABT1	-1.37181470485935	-0.910613962513393	-0.85172047461012	-1.36676978114636	-1.06898118722644	-0.935296182716953
ABTB2	0.3963724262425	0.498797247602537	0.223506751773032	0.0610232220353662	0.386604584022139	0.438680532502287
ACACA	-1.89478345406203	-2.07074312993246	-2.10504954349679	-2.49294068774146	-2.69656122061024	-2.94022939980776
ACACB	0.170799448706849	0.351330228522891	0.447213452812943	0.119560168764757	0.330361262930173	0.51077679079947
ACTL6A	-2.14392530216161	-2.4163789733585	-2.79554829982557	-2.01185608573236	-2.60665526452033	-3.50330089253287
ACTL6B	0.157428947400999	0.263442104623502	0.00976954890349029	0.0809448136763465	0.372709219113757	-0.0521600688379856
ACTL7A	0.464990852793758	0.614644537851676	0.544305439553001	0.228786747895178	0.852342502671627	0.25292287320039
ADAM19	0.593156682562078	0.408591556883785	0.364990131636139	0.602923820841419	0.201171377959772	0.177225233049653
ADAP1	0.339216600486312	0.208387338153414	0.275668175848699	0.379736356351092	-0.101803640553392	0.171637392246216
ADAP2	0.188165643934788	0.455835225934423	0.476611659134025	0.219456458215965	0.346045056627952	0.289621342817516
ADARB1	0.411937160144034	0.446406958539935	0.500001435147694	0.40731586822952	0.2274431289905	0.499442940209892
ADARB2	0.682176331186527	0.605010910222032	0.570909272627116	0.527013782273095	0.67245774823241	0.675962290768298
ADGRG7	0.244634355081435	0.631624166774626	0.440363312931315	0.369327963868881	0.81152994214279	0.39918446958229
ADM	0.40620293150487	0.253198682417757	0.376936943170065	0.589141863199706	0.246506413041599	0.345958323643626
ADSS	-0.30077184802476	-0.229478060816385	-0.088120068106091	-0.0990207699881872	-0.493478566878664	-0.40652279694256
ADSSL1	0.0207724770754011	-0.096886785974667	0.0157687719193177	-0.0552960254658054	-0.19690712058808	-0.195359410109785
AFG3L2	-1.96290754569192	-2.45743228084712	-1.86762821022278	-2.41209472013591	-2.91625494655333	-2.34998723844284
AHCYL1	-0.885863044625725	-1.20137367071666	-1.09637845011855	-1.79978779577381	-2.2061349225637	-1.88226878186041
AHCYL2	0.215008818145065	0.287886888772237	0.312502525147767	0.121781577870059	0.131431652113643	0.0822128867519515
AIPL1	0.6762361754406	0.204262475572232	0.304903237285839	0.720211056438417	-0.0133776113751539	0.104904771101539
AKAP11	0.234657203334368	0.448187399584052	0.505485123508833	0.256898701896472	0.402174089841236	0.383070579987881
AKIRIN1	-0.271001385584692	-0.302692094611366	-0.276807236281149	-0.390642283636195	-0.562101382140506	-0.563730450670622
AKIRIN2	-1.30008978076032	-1.39660625600618	-1.12094684222064	-2.01647271609408	-2.0199298760103	-1.18757090849459
ALAS1	0.475791772504392	0.375587092144302	0.484754123881391	0.588513442413668	0.459256993264675	0.471268046939283
ALAS2	0.386032080418952	0.3761803400258	0.325896558049794	0.611267362885025	0.497457037867909	-0.0100764216120506
ALDOA	-2.21921830273651	-2.64985107906894	-2.32155662835518	-3.2635887246108	-2.634599757293	-2.59203708040586
ALDOC	-0.119633467800641	-0.376360510685874	0.146756730590217	-0.183983374646473	-0.431653929652953	0.179546233665304
ALG14	-0.596576658186389	-0.674045329354662	-0.416614298122222	-0.700342193285136	-1.2854589182254	-0.58251390360954
AMELX	0.422184701352976	0.799071089427871	0.671074299285852	0.460627363534635	0.655674015940919	0.782625798959164
ANAPC4	-1.40617692344601	-1.4602450414569	-1.09673873028288	-1.71132739024078	-1.24957031234322	-1.61204104333483
ANKRD10	0.358783588861718	0.420688996139281	0.462299799347143	0.342581490521001	0.696256391550752	0.537380941734686
ANKRD37	0.482274533598975	0.661917107430188	0.667210802432173	0.512987032249753	0.625035512246723	0.722072537247662
ANXA1	0.123519302427735	0.376382958726799	0.543767332164912	0.237824587512731	0.490746815551665	0.537469200506444
AOX1	0.244484268958919	0.133240742992367	0.288780576623925	0.0562516723760318	0.0281851655571886	0.229758816966458
AP1G1	0.207434985766024	0.277857893569108	0.318826301827944	0.0841451379948548	0.273746414273017	0.148032704985369
AP1G2	0.0733641222532181	-0.153913389479364	-0.147388910846181	0.199990194421672	-0.370872675136936	-0.587297417499111
AP2A1	-0.479944012703052	-0.195112473346599	-0.296958574047341	-0.795586800263438	-0.625561581145226	-0.737590931411029
AP2A2	0.398559997756097	-0.0256460073161578	0.317992969860018	0.26898017100949	-0.137786149250268	0.343938582629216
AP3M1	0.31392779034544	0.681215240748725	0.478303044508444	0.432362745614917	0.809282724424454	0.637885015789268
AP5M1	0.376232063609171	0.221057863962488	0.683476284995528	0.312681096818105	0.112748655601251	0.694483854821985
APH1A	-0.166994346932188	-0.320183448654627	-0.269044550519959	-0.494381036479792	-0.708265833094558	-0.38530798872971
APH1B	-0.202771640733562	-0.000290168100666701	0.0826890127161413	-0.231969010773584	0.0406221611107036	-0.152528209442118
APOBEC1	0.605155050000483	0.364997011311646	0.565681186929849	0.428333716566876	0.400109182607054	0.459712081780462
APOBEC3C	0.296441132487562	0.128280145481226	0.0783467402382337	0.211772376782909	-0.165906317000193	-0.257399628564778
AQP8	0.329399184071009	0.74599050045976	0.534210861624988	0.188976544088087	0.735670807074857	0.699892520598744
ARFGEF1	0.495813663532292	0.197167935727593	0.217585842480726	0.670946883344673	0.300750396388532	0.139583781992705
ARFGEF2	0.383590393763244	0.280260616741646	0.472668279611669	0.174486747625653	0.00109698886503945	-0.00279186956404412
ARFIP1	0.146252354732772	0.130148105306169	0.538830134058927	-0.0850776956105082	-0.13813785734345	0.433199271259389
ARFIP2	0.332656401413788	0.145877539055763	0.428039944035907	0.434144749152705	-0.0953485666252202	0.0686614158028831
ARHGEF3	0.701755402447572	0.606219303832139	0.726059078608147	0.638500752208148	0.695442954821157	0.689915231158135
ARHGEF6	0.520764689130498	0.654094671865173	0.460574303383361	0.577509353783269	0.746017197180159	0.405927886160484
ARHGEF7	0.34831649678529	0.495277507177945	0.421175326122632	0.439863003058235	0.593294274258847	0.144944118527161
ARID1A	-0.460831047929016	-0.606418238809678	-0.820546192964984	-0.791323959275539	-0.784262306905172	-1.83066024050838
ARID1B	0.513796879939867	0.185091795895725	0.502654410915777	0.546236742135424	0.0203254205287849	0.224066446023338
ARID4A	0.0542807381352317	0.0596054462570004	0.0733127377343057	0.152390501379893	-0.411719938019436	-0.168771880244036
ARPC5	-0.115158485723125	0.274738381465167	0.376739174182504	-0.172632416157769	0.432083704038157	0.360679268499521
ARPC5L	-0.262242065152036	-0.747318585469062	-0.500915975516935	-0.288021197493759	-0.882332872998661	-0.621668926641688
