gene	BF
ABCA3	-1.620375
ABCB1	-1.85560416666667
ABCC3	-0.802979166666667
ABCG2	-1.96077083333333
ABL1	-1.7075
ABL2	-0.9923125
ABT1	0.730729166666667
ABTB2	-1.18116666666667
ACACA	-1.132375
ACACB	-1.67397916666667
ACTL6A	2.9958125
ACTL6B	-1.16325
ACTL7A	-1.32808333333333
ADAM19	-1.52579166666667
ADAP1	-0.553416666666667
ADAP2	-1.00058333333333
ADARB1	-2.01064583333333
ADARB2	-1.33260416666667
ADGRG7	-1.46989583333333
ADM	-0.821791666666667
ADSS	1.2105744047619
ADSSL1	-0.9348125
AFG3L2	0.808284722222222
AHCYL1	-0.288333333333333
AHCYL2	-1.50389583333333
AIPL1	-1.9113125
AKAP11	-1.48791666666667
AKIRIN1	0.182979166666667
AKIRIN2	1.5068125
ALAS1	-2.25472916666667
ALAS2	-2.1380625
ALDOA	3.12779166666667
ALDOC	-0.573020833333333
ALG14	-0.237583333333333
AMELX	-2.29241666666667
ANAPC4	0.840625
ANKRD10	-0.751625
ANKRD37	-1.624875
ANXA1	-1.92516666666667
AOX1	-1.82116666666667
AP1G1	-0.767916666666667
AP1G2	-0.4376875
AP2A1	1.7893125
AP2A2	-0.823166666666667
AP3M1	-1.1635
AP5M1	-1.51597916666667
APH1A	-0.921208333333333
APH1B	-2.10985416666667
APOBEC1	-1.19935416666667
APOBEC3C	-1.00177083333333
AQP8	-1.6845625
ARFGEF1	-1.27389583333333
ARFGEF2	-1.41608333333333
ARFIP1	-1.71722916666667
ARFIP2	-1.59579166666667
ARHGEF3	-1.74789583333333
ARHGEF6	-2.7421875
ARHGEF7	-0.5670625
ARID1A	-0.575583333333333
ARID1B	-0.389770833333333
ARID4A	-1.84775
ARPC5	-0.175
ARPC5L	0.453666666666667
ARSJ	-1.80558333333333
ASCL1	-1.3399375
ASF1A	-0.252083333333333
ASF1B	0.0679895833333333
ATAD2	-0.690625
ATAD2B	-1.70179166666667
ATM	-1.37735416666667
ATOH1	-1.9626875
ATP5F1A	1.7923125
ATP5F1B	3.16114583333333
ATP5F1D	2.06760416666667
ATP5PB	0.347354166666667
ATP6V1B1	-1.36152083333333
ATP6V1B2	3.70233333333333
ATP6V1C1	1.77595833333333
ATP6V1C2	-0.658604166666667
ATP6V1D	2.661
ATP6V1E1	0.557193452380952
ATP6V1E2	-1.36133333333333
ATP7A	-6.04795833333333
ATP7B	-1.9913125
ATP8B3	-0.964979166666667
ATR	1.31285416666667
AXL	-1.06552083333333
BAP1	-0.4115
BARHL1	-0.691145833333333
BATF3	-0.898041666666667
BCAP31	-1.03329166666667
BECN1	-0.564166666666667
BECN2	-1.02683333333333
BICD1	-0.678479166666667
BICD2	-0.6239375
BRD8	0.570645833333333
BRSK1	-1.0703125
BRSK2	-0.1181875
BTBD11	-0.906041666666667
BTG1	-0.866958333333333
BUB1B	0.585125
BUB3	5.1329375
BZW1	-1.30499305555556
BZW2	-0.101208333333333
CAB39	-1.13408333333333
CAB39L	-1.342375
CABP5	-0.474604166666667
CADPS	-1.74539583333333
CADPS2	-1.61025
CALY	-0.923145833333333
CAND1	-0.507125
CAND2	-1.02366666666667
CAP1	-0.533666666666667
CAP2	-0.906270833333333
CAPN2	-0.3666875
CASP4	-1.65014583333333
CAT	-1.6578125
CAV1	-1.91533333333333
CAVIN1	0.2195
CBLL1	-0.2441875
CBLL2	-2.2280625
CCDC69	-1.44522916666667
CCND1	5.41002083333333
CCND3	0.568958333333333
CCNE1	-1.5335
CCNE2	-0.933145833333333
CCNL1	-1.19154166666667
CCNL2	-1.2000625
CCNT1	0.701479166666667
CCNT2	0.0884791666666667
CCT6A	3.15797916666667
CCT6B	-0.6664375
CD163L1	-2.40227083333333
CD44	-1.1743125
CD72	-1.9908125
CDC34	-0.664458333333333
CDIPT	2.81185416666667
CDK16	-2.6458125
CDK17	-3.16829166666667
CDK19	-1.79713541666667
CDK2	2.3303125
CDK5R1	-0.0303958333333334
CDK5R2	-0.572083333333333
CDK7	2.35452678571429
CDK8	0.1810625
CDNF	-1.84452083333333
CDS1	-2.20660416666667
CDS2	2.61408333333333
CEACAM1	-0.651416666666667
CELA2A	-1.78395833333333
CFL1	0.256395833333333
CHM	-2.97510416666667
CHML	-1.76447916666667
CHMP1A	0.3641875
CHMP1B	-1.6168125
CHORDC1	3.38511805555556
CHRNB3	-0.208875
CHSY1	-1.94545833333333
CHSY3	-1.1629375
CHUK	-0.946635416666667
CKAP5	3.09345833333333
CLASP1	-0.5928125
CLASP2	-1.89414583333333
CLCA1	-1.91822916666667
CLDN4	-0.294145833333333
CLIP4	-2.45364583333333
CLNS1A	3.76297916666667
CLTA	0.538354166666667
CLTB	-1.37810416666667
CLTC	3.74539583333333
CLTCL1	-2.0809375
CNOT6	-1.48991666666667
CNOT6L	-2.24865972222222
CNOT7	0.538241071428571
CNOT8	-1.26971130952381
COPA	3.76079166666667
COPG1	-0.522645833333333
COPG2	-1.794625
COPS7A	-0.7763125
COPS7B	-0.397208333333333
COPZ1	0.594395833333333
COPZ2	-1.33297916666667
COQ10A	-0.610708333333333
COQ10B	-1.812375
COX4I1	0.489104166666667
COX4I2	-0.637875
COX6B1	1.04232291666667
COX6B2	-0.821041666666667
CPS1	-1.69964583333333
CPSF3	0.969916666666667
CREBBP	-1.5244375
CRK	-0.550979166666667
CRKL	1.1955
CRNN	-1.09791666666667
CRX	-1.44564583333333
CRY1	-0.7450625
CRY2	-0.557583333333333
CRYBB2	-1.51511607142857
CSTF2	-2.07525
CSTF2T	-0.743791666666667
CTCFL	-1.73697916666667
CTNNB1	-2.427
CTPS1	-0.159541666666667
CTPS2	-1.6550625
CTR9	1.50135416666667
