id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	2.9713e-15	4.6703e-06	0.000354	1	16	-2.8827	1.0	1.0	0.999995	1060	0	-2.8827
RRM1	16	7.3242e-13	4.6703e-06	0.000354	2	14	-2.5372	1.0	1.0	0.999995	1059	0	-2.5372
BUB3	8	6.0642e-09	4.6703e-06	0.000354	3	8	-2.5305	1.0	1.0	0.999995	1051	0	-2.5305
POLR2L	8	8.2275e-09	4.6703e-06	0.000354	4	8	-3.3675	1.0	1.0	0.999995	1058	0	-3.3675
PRKDC	16	1.5125e-08	4.6703e-06	0.000354	5	13	-0.97248	0.97004	0.99741	0.999995	952	2	-0.97248
LDB1	16	3.2194e-08	4.6703e-06	0.000354	6	14	-1.5029	0.98719	0.99887	0.999995	979	1	-1.5029
RRM2	7	5.1832e-08	4.6703e-06	0.000354	7	5	-3.4044	0.48565	0.75605	0.999995	694	1	-3.4044
CCND1	8	9.1107e-08	4.6703e-06	0.000354	8	8	-2.0015	1.0	1.0	0.999995	1057	0	-2.0015
KIF11	8	1.2613e-07	4.6703e-06	0.000354	9	8	-1.5467	1.0	1.0	0.999995	1056	0	-1.5467
PRPF8	8	1.2854e-07	4.6703e-06	0.000354	10	8	-2.3972	1.0	1.0	0.999995	1054	0	-2.3972
RPP21	8	1.3769e-07	4.6703e-06	0.000354	11	8	-1.8942	1.0	1.0	0.999995	1055	0	-1.8942
NAE1	16	4.1415e-07	1.4011e-05	0.000874	12	12	-0.81508	0.3107	0.70204	0.999995	583	2	-0.81508
TIMM10	8	7.7716e-07	4.6703e-06	0.000354	13	8	-1.2434	1.0	1.0	0.999995	1052	0	-1.2434
COPA	8	1.0569e-06	4.6703e-06	0.000354	14	8	-1.0627	1.0	1.0	0.999995	1050	0	-1.0627
ALDOA	8	1.2101e-06	4.6703e-06	0.000354	15	7	-1.6013	0.98556	0.99298	0.999995	975	1	-1.6013
PPP4C	8	1.4706e-06	1.4011e-05	0.000874	16	7	-1.7733	0.99602	0.99646	0.999995	996	1	-1.7733
MTG2	8	1.7491e-06	1.4011e-05	0.000874	17	8	-0.94921	1.0	1.0	0.999995	1049	0	-0.94921
CLTC	8	2.732e-06	3.2692e-05	0.001824	18	7	-1.575	0.99997	0.99999	0.999995	1043	0	-1.575
SF3B3	8	3.1353e-06	3.2692e-05	0.001824	19	8	-1.2583	1.0	1.0	0.999995	1048	0	-1.2583
RPL36	8	4.275e-06	4.2033e-05	0.002228	20	7	-1.1119	0.99983	0.99973	0.999995	1039	0	-1.1119
HUS1	8	5.8196e-06	5.1373e-05	0.002368	21	7	-1.9087	0.98934	0.99379	0.999995	982	1	-1.9087
CKAP5	16	6.3198e-06	5.1373e-05	0.002368	22	9	-1.2914	1.0	1.0	0.999995	1053	0	-1.2914
