gene	BF
ABCA3	-0.342979166666667
ABCB1	-0.8788125
ABCC3	-0.289291666666667
ABCG2	-0.93725
ABL1	-0.9035
ABL2	-0.43075
ABT1	2.36170833333333
ABTB2	-0.471354166666667
ACACA	0.300458333333333
ACACB	-0.615083333333333
ACTL6A	3.468625
ACTL6B	-0.84525
ACTL7A	-0.424729166666667
ADAM19	-1.18733333333333
ADAP1	0.121145833333333
ADAP2	-0.37975
ADARB1	-0.8060625
ADARB2	-0.520604166666667
ADGRG7	-1.06685416666667
ADM	-0.947916666666667
ADSS	0.93989880952381
ADSSL1	-0.3188125
AFG3L2	3.29495833333333
AHCYL1	3.50314583333333
AHCYL2	-0.3834375
AIPL1	-0.5254375
AKAP11	-0.7808125
AKIRIN1	0.272145833333333
AKIRIN2	2.01727083333333
ALAS1	0.116552083333333
ALAS2	-1.08983333333333
ALDOA	4.7061875
ALDOC	0.0210833333333336
ALG14	0.663083333333333
AMELX	-1.07564583333333
ANAPC4	1.64602083333333
ANKRD10	-1.05991666666667
ANKRD37	-0.972895833333333
ANXA1	-0.8461875
AOX1	-0.622666666666666
AP1G1	-0.427291666666667
AP1G2	-0.0735625
AP2A1	-0.4610625
AP2A2	-1.45704166666667
AP3M1	-0.464083333333333
AP5M1	-0.558104166666666
APH1A	0.653916666666667
APH1B	-0.9346875
APOBEC1	-0.1629375
APOBEC3C	-0.589375
AQP8	-0.452166666666666
ARFGEF1	-0.4516875
ARFGEF2	0.0206250000000001
ARFIP1	-0.986104166666667
ARFIP2	-1.41460416666667
ARHGEF3	-0.777833333333333
ARHGEF6	-0.861104166666667
ARHGEF7	-0.3529375
ARID1A	1.64135416666667
ARID1B	-0.3888125
ARID4A	0.277708333333333
ARPC5	-0.7458125
ARPC5L	0.5615
ARSJ	-0.751
ASCL1	-0.579666666666667
ASF1A	-0.648354166666667
ASF1B	-0.674739583333333
ATAD2	-0.110333333333333
ATAD2B	-0.8595625
ATM	-0.88475
ATOH1	-0.9294375
ATP5F1A	3.40314583333333
ATP5F1B	3.17304166666667
ATP5F1D	2.28722916666667
ATP5PB	0.9890625
ATP6V1B1	-0.366520833333333
ATP6V1B2	5.01560416666667
ATP6V1C1	1.8100625
ATP6V1C2	-0.580052083333333
ATP6V1D	3.08954166666667
ATP6V1E1	2.72842261904762
ATP6V1E2	-0.232895833333333
ATP7A	1.79779166666667
ATP7B	-1.09022916666667
ATP8B3	-0.20825
ATR	2.65791666666667
AXL	-0.96025
BAP1	-0.749125
BARHL1	-0.341145833333333
BATF3	-0.728270833333333
BCAP31	0.0604166666666668
BECN1	0.929833333333333
BECN2	-0.858083333333333
BICD1	-0.293458333333333
BICD2	0.472291666666667
BRD8	0.0253541666666668
BRSK1	-0.5813125
BRSK2	-0.534791666666667
BTBD11	-0.659583333333333
BTG1	-0.562083333333333
BUB1B	2.23045833333333
BUB3	6.0285
BZW1	-0.333513888888889
BZW2	0.728020833333333
CAB39	1.18414583333333
CAB39L	-1.02345833333333
CABP5	-0.184708333333333
CADPS	-0.738604166666667
CADPS2	-0.763
CALY	-0.958375
CAND1	2.20789583333333
CAND2	-0.4998125
CAP1	2.03366666666667
CAP2	-0.9160625
CAPN2	-0.839458333333333
CASP4	-0.6155
CAT	-0.8821875
CAV1	-0.884854166666666
CAVIN1	-0.57575
CBLL1	0.300541666666667
CBLL2	-0.761791666666666
CCDC69	-0.8048125
CCND1	6.241
CCND3	-0.0467083333333331
CCNE1	0.121395833333333
CCNE2	1.47302083333333
CCNL1	-0.179145833333333
CCNL2	-0.70425
