id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	16	1.3841e-15	4.6703e-06	0.000165	1	15	-3.2994	1.0	1.0	0.999995	1058	0	-3.2994
MYC	16	5.2301e-14	4.6703e-06	0.000165	2	15	-1.9432	1.0	1.0	0.999995	1060	0	-1.9432
COPA	8	6.9282e-11	4.6703e-06	0.000165	3	8	-3.544	1.0	1.0	0.999995	1059	0	-3.544
PRPF8	8	2.64e-10	4.6703e-06	0.000165	4	8	-2.8836	1.0	1.0	0.999995	1057	0	-2.8836
CCND1	8	2.8399e-10	4.6703e-06	0.000165	5	8	-3.6293	1.0	1.0	0.999995	1056	0	-3.6293
NAE1	16	8.8001e-10	4.6703e-06	0.000165	6	14	-0.93789	0.99276	0.99919	0.999995	929	1	-0.93789
BUB3	8	1.366e-09	4.6703e-06	0.000165	7	8	-3.3731	1.0	1.0	0.999995	1055	0	-3.3731
SF3B3	8	3.0113e-09	4.6703e-06	0.000165	8	8	-2.5672	1.0	1.0	0.999995	1054	0	-2.5672
POLR2L	8	3.4251e-09	4.6703e-06	0.000165	9	8	-3.5449	1.0	1.0	0.999995	1053	0	-3.5449
RPL3	14	5.1679e-09	4.6703e-06	0.000165	10	11	-2.2961	0.98529	0.99797	0.999995	915	2	-2.2961
CDIPT	8	1.1321e-08	4.6703e-06	0.000165	11	6	-3.1479	0.99998	0.99999	0.999995	1020	0	-3.1479
MED18	16	2.7461e-08	4.6703e-06	0.000165	12	10	-1.7967	0.7621	0.95646	0.999995	783	2	-1.7967
KIF11	8	3.6029e-08	4.6703e-06	0.000165	13	8	-1.8853	1.0	1.0	0.999995	1052	0	-1.8853
ATP6V1B2	8	1.1864e-07	4.6703e-06	0.000165	14	8	-2.9882	1.0	1.0	0.999995	1051	0	-2.9882
PPP4C	8	1.2699e-07	4.6703e-06	0.000165	15	8	-2.2859	1.0	1.0	0.999995	1050	0	-2.2859
RPA1	8	1.6255e-07	4.6703e-06	0.000165	16	8	-2.1185	1.0	1.0	0.999995	1049	0	-2.1185
ALDOA	8	1.8143e-07	4.6703e-06	0.000165	17	7	-2.9323	0.99228	0.99325	0.999995	928	1	-2.9323
PSMB3	7	2.803e-07	4.6703e-06	0.000165	18	7	-3.3351	1.0	1.0	0.999995	1048	0	-3.3351
MTHFD1	8	3.4897e-07	4.6703e-06	0.000165	19	8	-1.5307	1.0	1.0	0.999995	1047	0	-1.5307
CKAP5	16	3.8871e-07	1.4011e-05	0.00045	20	12	-1.4478	0.99995	0.99995	0.999995	1011	1	-1.4478
VCP	8	4.0281e-07	4.6703e-06	0.000165	21	7	-3.859	0.96272	0.98494	0.999995	895	1	-3.859
TOP1	8	5.4573e-07	4.6703e-06	0.000165	22	8	-1.3167	1.0	1.0	0.999995	1046	0	-1.3167
INTS6	6	6.0193e-07	4.6703e-06	0.000165	23	6	-2.1935	1.0	1.0	0.999995	1045	0	-2.1935
