id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	1.188e-16	4.6703e-06	0.000134	1	16	-2.974	1.0	1.0	0.999995	1060	0	-2.974
RRM1	16	1.2649e-15	4.6703e-06	0.000134	2	16	-4.7856	1.0	1.0	0.999995	1059	0	-4.7856
CKAP5	16	1.4977e-11	4.6703e-06	0.000134	3	16	-3.2345	1.0	1.0	0.999995	1058	0	-3.2345
TOMM40	14	1.4623e-10	4.6703e-06	0.000134	4	14	-2.2686	1.0	1.0	0.999995	1057	0	-2.2686
BUB3	8	7.026e-10	4.6703e-06	0.000134	5	8	-3.8059	1.0	1.0	0.999995	1056	0	-3.8059
CCND1	8	7.6096e-10	4.6703e-06	0.000134	6	8	-4.4778	1.0	1.0	0.999995	1050	0	-4.4778
RPS19	8	1.4425e-09	4.6703e-06	0.000134	7	8	-4.964	1.0	1.0	0.999995	1055	0	-4.964
NAE1	16	2.1791e-09	4.6703e-06	0.000134	8	14	-1.8421	0.99837	0.9999	0.999995	949	1	-1.8421
TOP2A	8	2.3127e-09	4.6703e-06	0.000134	9	8	-3.7704	1.0	1.0	0.999995	1054	0	-3.7704
POLR2L	8	2.8213e-09	4.6703e-06	0.000134	10	8	-5.3752	1.0	1.0	0.999995	1053	0	-5.3752
NAA10	8	7.8432e-09	4.6703e-06	0.000134	11	8	-3.217	1.0	1.0	0.999995	1052	0	-3.217
KIF11	8	1.25e-08	4.6703e-06	0.000134	12	8	-3.9269	1.0	1.0	0.999995	1051	0	-3.9269
RPL3	14	2.0591e-08	4.6703e-06	0.000134	13	11	-3.4367	0.93417	0.99243	0.999995	863	1	-3.4367
SF3B3	8	3.2217e-08	4.6703e-06	0.000134	14	8	-3.5882	1.0	1.0	0.999995	1049	0	-3.5882
ALDOA	8	3.9605e-08	4.6703e-06	0.000134	15	8	-3.7346	1.0	1.0	0.999995	1048	0	-3.7346
PRPF8	8	7.0178e-08	4.6703e-06	0.000134	16	8	-3.911	1.0	1.0	0.999995	1044	0	-3.911
RPL36	8	7.0873e-08	4.6703e-06	0.000134	17	8	-3.136	1.0	1.0	0.999995	1047	0	-3.136
CDIPT	8	1.0426e-07	4.6703e-06	0.000134	18	7	-4.0934	0.99671	0.99741	0.999995	938	1	-4.0934
