gene	BF
ABCA3	-1.60795833333333
ABCB1	-1.82745833333333
ABCC3	-0.849708333333334
ABCG2	-1.81070833333333
ABL1	-1.8688125
ABL2	-1.7359375
ABT1	4.56877083333333
ABTB2	-1.844375
ACACA	3.344125
ACACB	-1.10216666666667
ACTL6A	9.8539375
ACTL6B	-0.828583333333333
ACTL7A	-1.17195833333333
ADAM19	-1.83208333333333
ADAP1	-1.75085416666667
ADAP2	-1.43429166666667
ADARB1	-1.82458333333333
ADARB2	-1.9849375
ADGRG7	-1.39820833333333
ADM	-1.27485416666667
ADSS	0.168419642857143
ADSSL1	-0.219791666666667
AFG3L2	6.3608125
AHCYL1	6.00816666666667
AHCYL2	-1.49489583333333
AIPL1	-1.62266666666667
AKAP11	-1.3671875
AKIRIN1	0.613333333333333
AKIRIN2	5.372
ALAS1	-0.249125
ALAS2	-2.3335625
ALDOA	7.38925
ALDOC	-0.4389375
ALG14	2.3853125
AMELX	-2.14008333333333
ANAPC4	3.66810416666667
ANKRD10	-1.30014583333333
ANKRD37	-1.58352083333333
ANXA1	-1.88145833333333
AOX1	-1.37508333333333
AP1G1	-1.24375
AP1G2	0.0210625
AP2A1	-0.924291666666667
AP2A2	-2.00104166666667
AP3M1	-1.20510416666667
AP5M1	-0.903229166666667
APH1A	1.23122916666667
APH1B	-1.19002083333333
APOBEC1	-1.09827083333333
APOBEC3C	1.4985625
AQP8	-2.36472916666667
ARFGEF1	-1.406625
ARFGEF2	-1.2961875
ARFIP1	-1.64014583333333
ARFIP2	-2.04114583333333
ARHGEF3	-1.7040625
ARHGEF6	-2.042125
ARHGEF7	-0.607895833333334
ARID1A	1.56839583333333
ARID1B	-0.766041666666667
ARID4A	0.4398125
ARPC5	-1.34339583333333
ARPC5L	0.575895833333333
ARSJ	-1.5989375
ASCL1	-1.47089583333333
ASF1A	-0.0695625
ASF1B	0.483125
ATAD2	-1.5823125
ATAD2B	-1.85289583333333
ATM	-1.02797916666667
ATOH1	-2.2220625
ATP5F1A	9.702125
ATP5F1B	9.53395833333333
ATP5F1D	6.28939583333333
ATP5PB	6.64797916666667
ATP6V1B1	-0.401875
ATP6V1B2	7.60222916666667
ATP6V1C1	5.8675625
ATP6V1C2	-0.88190625
ATP6V1D	7.66252083333333
ATP6V1E1	4.98522916666667
ATP6V1E2	-0.9189375
ATP7A	2.34408333333333
ATP7B	-2.12825
ATP8B3	-1.357875
ATR	5.68245833333333
AXL	-0.906729166666667
BAP1	4.83445833333333
BARHL1	-1.4485625
BATF3	-1.69858333333333
BCAP31	0.868020833333333
BECN1	1.91870833333333
BECN2	-1.54254166666667
BICD1	-0.548041666666667
BICD2	-0.253166666666667
BRD8	2.761875
BRSK1	-1.08045833333333
BRSK2	-1.7085
BTBD11	-0.818875
BTG1	-0.775395833333334
BUB1B	6.85002083333333
BUB3	13.9291666666667
BZW1	-0.238131944444445
BZW2	-0.327416666666667
CAB39	-2.94085416666667
CAB39L	-2.01745833333333
CABP5	-0.2419375
CADPS	-1.70735416666667
CADPS2	-1.12614583333333
CALY	-1.1370625
CAND1	3.20058333333333
CAND2	-0.881125
CAP1	1.59547916666667
CAP2	-0.997166666666667
CAPN2	-1.48541666666667
CASP4	-0.869791666666667
CAT	-1.4778125
CAV1	-1.51239583333333
CAVIN1	-1.02420833333333
CBLL1	-0.319229166666667
CBLL2	-1.72702083333333
CCDC69	-1.42479166666667
CCND1	4.80833333333333
CCND3	1.5706875
CCNE1	-0.691458333333333
CCNE2	-1.63233333333333
CCNL1	1.80377083333333
CCNL2	-1.1320625
CCNT1	0.5738125
CCNT2	0.6638125
CCT6A	10.6298005952381
CCT6B	-1.55164583333333
CD163L1	-2.27947916666667
CD44	-1.60960416666667
CD72	-1.06627083333333
CDC34	-0.75775
CDIPT	11.6465625
CDK16	-1.9730625
CDK17	-0.130291666666667
CDK19	-0.881145833333334
CDK2	5.24635416666667
CDK5R1	-0.78825
CDK5R2	-0.65875
CDK7	10.5063244047619
CDK8	1.411
CDNF	-1.746875
CDS1	-1.11002083333333
CDS2	7.45672916666667
CEACAM1	-0.0213750000000001
CELA2A	-0.111583333333333
CFL1	3.27558333333333
CHM	-2.46285416666667
CHML	-2.07014583333333
CHMP1A	2.70635416666667
CHMP1B	-1.84866666666667
CHORDC1	11.1192013888889
CHRNB3	-1.7765
CHSY1	-1.78177083333333
CHSY3	-0.2715625
CHUK	-0.517375
CKAP5	10.6406145833333
CLASP1	-0.0646041666666668
CLASP2	-2.3905625
CLCA1	-1.1108125
CLDN4	-1.63789583333333
CLIP4	-2.02395833333333
CLNS1A	12.3623720238095
CLTA	-0.57825
CLTB	-1.34702083333333
CLTC	8.3821875
CLTCL1	0.414833333333333
CNOT6	-2.02325
CNOT6L	-2.24588194444444
CNOT7	-1.53415178571429
CNOT8	-1.2306994047619
COPA	11.7648125
COPG1	2.7931875
COPG2	-1.04420833333333
COPS7A	-1.94835416666667
COPS7B	-0.627020833333333
COPZ1	4.04854166666667
COPZ2	-1.74683333333333
COQ10A	-0.00637500000000024
COQ10B	0.681875
COX4I1	7.70783333333333
COX4I2	-0.530125
COX6B1	7.71226041666667
COX6B2	-1.37791666666667
CPS1	-1.99960416666667
CPSF3	10.0420208333333
CREBBP	-1.24247916666667
CRK	-1.109625
CRKL	5.82885416666667
CRNN	-1.2033125
CRX	-1.68516666666667
CRY1	-0.84075
CRY2	-0.760854166666667
CRYBB2	-1.7949375
CSTF2	-1.18025
CSTF2T	-0.427645833333334
CTCFL	-1.77179166666667
CTNNB1	-1.11389583333333
CTPS1	2.5705
CTPS2	-2.55654166666667
CTR9	8.116125
CTSZ	-1.21139583333333
CWF19L1	0.108229166666667
CYFIP1	-1.4866875
CYFIP2	-1.1005
CYP26C1	-1.71766666666667
CYP2A6	-1.57502083333333
CYP2C8	-1.80127083333333
CYP7A1	-1.43333333333333
DBT	-0.6271875
DCAF4L2	-1.86183333333333
DCAF8L1	-1.692375
DDI1	-1.45382291666667
DDI2	1.00385416666667
DDX17	0.875541666666667
DDX39A	-1.11210416666667
DDX39B	0.347083333333333
DDX5	0.850958333333333
DEGS1	-2.13685416666667
DEGS2	-1.04439583333333
DENND5A	-1.52258333333333
DENND5B	-2.48791666666667
DGAT1	-0.749520833333333
DGAT2L6	-2.40375
DGKI	-2.052875
DGKZ	1.85136805555556
DHX29	2.36589583333333
DHX9	6.86695138888889
DLL1	-1.83091666666667
DLL4	-1.311875
DMD	-2.16558333333333
DMP1	-1.08470833333333
DMXL1	-0.890645833333333
DMXL2	-1.27997916666667
DNAJC15	-1.6720625
DNAJC19	-2.32882638888889
DPCR1	-1.83783333333333
DRD3	-1.6223125
DST	-1.47504166666667
DUOX1	-1.25227083333333
DUOX2	-2.01172916666667
DUSP10	-1.5960625
DYNC1LI1	-2.46100892857143
DYNC1LI2	-2.1484375
DYNLRB1	5.64199107142857
DYNLRB2	-2.04589583333333
DYNLT1	-2.42858333333333
DYNLT3	-2.37974305555556
DZIP1L	-1.25966666666667
DZIP3	-1.97404166666667
E2F3	2.67953869047619
E2F4	-1.1845
EAF1	-0.1511875
