id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	1.2871e-09	4.6703e-06	0.001238	1	8	-1.4219	1.0	1.0	0.999995	1060	0	-1.4219
MYC	8	3.9929e-09	4.6703e-06	0.001238	2	8	-0.94653	1.0	1.0	0.999995	1059	0	-0.94653
NAE1	8	1.002e-07	4.6703e-06	0.001238	3	7	-0.66732	0.97551	0.9758	0.999995	944	0	-0.66732
BUB3	4	1.1034e-06	4.6703e-06	0.001238	4	4	-1.5314	1.0	1.0	0.999995	1058	0	-1.5314
KIF11	4	4.3084e-06	1.4011e-05	0.00297	5	4	-1.295	1.0	1.0	0.999995	1057	0	-1.295
RPP21	4	1.115e-05	4.2033e-05	0.006474	6	4	-1.3295	0.99999	0.99999	0.999995	1055	0	-1.3295
RRM2	4	1.3463e-05	5.1373e-05	0.006474	7	2	-0.80144	0.47387	0.47184	0.723811	58	0	-0.80144
SF3B3	4	1.5614e-05	6.0714e-05	0.006474	8	4	-1.2932	0.99998	0.99999	0.999995	1054	0	-1.2932
CKAP5	8	1.7047e-05	7.0054e-05	0.006474	9	6	-0.8071	0.99991	0.99992	0.999995	1045	0	-0.8071
CDK7	4	2.1591e-05	7.0054e-05	0.006474	10	4	-1.164	0.99998	0.99998	0.999995	1053	0	-1.164
RPL36	4	2.2784e-05	7.0054e-05	0.006474	11	4	-0.99036	0.99998	0.99998	0.999995	1052	0	-0.99036
MTG2	4	2.7005e-05	7.9395e-05	0.006474	12	4	-0.82324	0.99997	0.99998	0.999995	1051	0	-0.82324
ALDOA	4	3.1013e-05	7.9395e-05	0.006474	13	4	-1.1728	0.99997	0.99997	0.999995	1050	0	-1.1728
POLR2L	4	3.4611e-05	9.8076e-05	0.007426	14	4	-1.4378	0.99997	0.99997	0.999995	1049	0	-1.4378
TOMM40	7	4.2742e-05	0.00024752	0.014576	15	6	-0.68298	0.67498	0.67659	0.999995	696	0	-0.68298
ATP5F1A	4	5.9982e-05	0.00015412	0.010891	16	4	-0.81986	0.99994	0.99994	0.999995	1048	0	-0.81986
INTS6	3	7.2188e-05	0.00021016	0.013687	17	3	-1.4699	0.99993	0.99992	0.999995	1047	0	-1.4699
COPA	4	7.2247e-05	0.0002195	0.013687	18	4	-1.551	0.99988	0.99987	0.999995	1040	0	-1.551
PRPF8	4	8.4397e-05	0.00028489	0.015894	19	4	-1.196	0.99992	0.99991	0.999995	1046	0	-1.196
TOP2A	4	9.8167e-05	0.00037829	0.019127	20	4	-1.1283	0.9999	0.9999	0.999995	1044	0	-1.1283
VMP1	4	0.0001028	0.00038763	0.019127	21	4	-0.94118	0.9999	0.9999	0.999995	1043	0	-0.94118
PPP4C	4	0.00010565	0.00039697	0.019127	22	4	-0.91892	0.99989	0.99989	0.999995	1042	0	-0.91892
SF3B1	4	0.00011356	0.000425	0.019587	23	4	-0.86703	0.99989	0.99989	0.999995	1041	0	-0.86703
SF3A1	4	0.00013858	0.00059313	0.025149	24	3	-1.1949	0.97365	0.97395	0.999995	941	0	-1.1949
CCND1	4	0.00013995	0.00059313	0.025149	25	4	-0.75928	0.99986	0.99986	0.999995	1039	0	-0.75928
STT3B	4	0.00015475	0.00063983	0.026085	26	4	-0.69814	0.99985	0.99986	0.999995	1038	0	-0.69814
AKIRIN2	4	0.00017208	0.00076126	0.029532	27	4	-0.65659	0.99983	0.99986	0.999995	1037	0	-0.65659
NAA10	4	0.00017966	0.00079862	0.029532	28	3	-1.0002	0.9996	0.99961	0.999995	1028	0	-1.0002
CTR9	4	0.00018055	0.00080796	0.029532	29	4	-0.82119	0.99982	0.99984	0.999995	1036	0	-0.82119
ATP6V1C1	4	0.00020466	0.00090136	0.031848	30	4	-0.71972	0.9998	0.99981	0.999995	1035	0	-0.71972
RPS19	4	0.00023811	0.0010041	0.034334	31	4	-0.89221	0.99976	0.99978	0.999995	1034	0	-0.89221
TOMM22	4	0.00025444	0.0011162	0.036974	32	4	-0.84085	0.99975	0.99976	0.999995	1033	0	-0.84085
ATP5F1B	4	0.00028958	0.0012563	0.0384	33	4	-0.70486	0.99971	0.99973	0.999995	1032	0	-0.70486
CPSF3	4	0.00031496	0.0013217	0.0384	34	4	-1.0452	0.99969	0.99972	0.999995	1031	0	-1.0452
MED20	4	0.00031714	0.0013217	0.0384	35	4	-0.76645	0.99968	0.99972	0.999995	1030	0	-0.76645
NAA15	4	0.00032825	0.0013404	0.0384	36	4	-1.1514	0.99967	0.99971	0.999995	1029	0	-1.1514
SNRPD3	4	0.00032826	0.0013404	0.0384	37	3	-1.1299	0.47387	0.47184	0.723811	289	0	-1.1299
CDIPT	4	0.00046767	0.0018354	0.051199	38	3	-0.90298	0.47387	0.47184	0.723811	507	0	-0.90298
ILF3	4	0.00063076	0.0023211	0.063087	39	3	-0.95963	0.86318	0.86334	0.999995	829	0	-0.95963
RPL3	7	0.00083062	0.0036662	0.084262	40	4	-0.72724	0.67498	0.67659	0.999995	697	0	-0.72724
CHORDC1	3	0.00097257	0.0027975	0.074134	41	3	-1.2499	0.99903	0.99897	0.999995	1011	0	-1.2499
SBNO1	4	0.0010095	0.0034513	0.084262	42	3	-0.86764	0.92461	0.92403	0.999995	895	0	-0.86764
CLTC	4	0.001075	0.0036568	0.084262	43	3	-0.85666	0.99952	0.99956	0.999995	1024	0	-0.85666
MED18	8	0.0010828	0.0046376	0.092079	44	5	-0.60467	0.72319	0.7228	0.999995	703	0	-0.60467
RIC8A	4	0.0011202	0.0037876	0.084262	45	3	-0.84173	0.99943	0.99946	0.999995	1020	0	-0.84173
CLNS1A	3	0.0011449	0.0033019	0.084262	46	3	-0.82778	0.99886	0.99876	0.999995	1010	0	-0.82778
TNPO1	3	0.0012066	0.0034887	0.084262	47	3	-0.87682	0.99879	0.99867	0.999995	1009	0	-0.87682
HMGCS1	3	0.0012949	0.0037035	0.084262	48	3	-1.2855	0.99871	0.99857	0.999995	1007	0	-1.2855
PSMB3	3	0.0013365	0.0038156	0.084262	49	3	-1.6162	0.99866	0.99855	0.999995	1006	0	-1.6162
