gene	BF
ABCA3	-1.16038541666667
ABCB1	-0.882927083333333
ABCC3	-0.858322916666666
ABCG2	-0.578072916666667
ABL1	-1.26407291666667
ABL2	-0.820697916666667
ABT1	4.20717708333333
ABTB2	-0.763010416666666
ACACA	8.63873958333333
ACACB	-0.73009375
ACTL6A	9.83446875
ACTL6B	-0.415010416666667
ACTL7A	-0.834052083333333
ADAM19	-0.93021875
ADAP1	-0.556510416666667
ADAP2	-0.64134375
ADARB1	-1.18517708333333
ADARB2	-1.61007291666667
ADGRG7	-1.08040625
ADM	-0.930864583333333
ADSS	0.908882440476191
ADSSL1	0.204385416666667
AFG3L2	8.56532291666667
AHCYL1	5.30221875
AHCYL2	-0.631260416666667
AIPL1	-0.682114583333334
AKAP11	-1.15676041666667
AKIRIN1	1.26726041666667
AKIRIN2	5.46021875
ALAS1	-1.15805208333333
ALAS2	-0.89940625
ALDOA	9.60948958333333
ALDOC	0.480177083333333
ALG14	2.51803125
AMELX	-1.31515625
ANAPC4	5.02911458333333
ANKRD10	-0.897260416666667
ANKRD37	-1.66455208333333
ANXA1	-1.04621875
AOX1	-0.690489583333333
AP1G1	-0.663135416666667
AP1G2	0.744052083333334
AP2A1	1.90582291666667
AP2A2	-0.402385416666667
AP3M1	-1.52388541666667
AP5M1	-0.963635416666667
APH1A	1.32890625
APH1B	0.202322916666667
APOBEC1	-1.26205208333333
APOBEC3C	0.02153125
AQP8	-1.20453125
ARFGEF1	-0.815614583333333
ARFGEF2	-0.706552083333333
ARFIP1	-0.48584375
ARFIP2	-0.358260416666667
ARHGEF3	-1.85273958333333
ARHGEF6	-1.41921875
ARHGEF7	-0.883135416666667
ARID1A	3.09044791666667
ARID1B	-0.76584375
ARID4A	0.296135416666667
ARPC5	-0.509385416666666
ARPC5L	2.30642708333333
ARSJ	-1.01942708333333
ASCL1	-1.22857291666667
ASF1A	1.41623958333333
ASF1B	0.85565625
ATAD2	-0.869302083333333
ATAD2B	-0.463885416666666
ATM	-0.696802083333333
ATOH1	-1.15432291666667
ATP5F1A	8.18280208333333
ATP5F1B	6.85713541666667
ATP5F1D	5.84061458333333
ATP5PB	3.03080208333333
ATP6V1B1	-0.391239583333333
ATP6V1B2	7.10148958333333
ATP6V1C1	6.85007291666667
ATP6V1C2	-0.297520833333333
ATP6V1D	7.54748958333333
ATP6V1E1	3.97540625
ATP6V1E2	0.42146875
ATP7A	4.14896875
ATP7B	-0.871322916666666
ATP8B3	-0.383302083333333
ATR	6.57221875
AXL	-0.941927083333333
BAP1	6.03730208333333
BARHL1	-1.39173958333333
BATF3	-1.02698958333333
BCAP31	0.13596875
BECN1	3.12071875
BECN2	-1.07101041666667
BICD1	-0.633010416666667
BICD2	0.84953125
BRD8	2.43842708333333
BRSK1	-1.17171875
BRSK2	-0.96703125
BTBD11	-1.02003125
BTG1	-1.53826041666667
BUB1B	6.96784375
BUB3	15.27353125
BZW1	-0.235121527777778
BZW2	0.385260416666667
CAB39	-2.04784375
CAB39L	-0.92115625
CABP5	-0.313385416666666
CADPS	-1.65284375
CADPS2	-0.26140625
CALY	-1.32082291666667
CAND1	3.75828125
CAND2	-0.0982395833333332
CAP1	1.95990625
CAP2	-1.12563541666667
CAPN2	-0.880572916666666
CASP4	-1.28809375
CAT	-0.96796875
CAV1	-0.850427083333333
CAVIN1	-0.48671875
CBLL1	3.19017708333333
CBLL2	-1.56144791666667
CCDC69	-1.05509375
CCND1	8.02815625
CCND3	-0.0496979166666667
CCNE1	-0.395364583333333
CCNE2	-1.36563541666667
CCNL1	3.28459375
