id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	2.2281e-11	4.6747e-06	0.00165	1	8	-3.139	1.0	1.0	0.999995	1059	0	-3.139
RRM1	8	1.7054e-08	4.6747e-06	0.00165	2	8	-2.6952	1.0	1.0	0.999995	1058	0	-2.6952
RPP21	4	1.6211e-07	4.6747e-06	0.00165	3	4	-3.0976	1.0	1.0	0.999995	1057	0	-3.0976
POLR2L	4	9.9276e-07	1.4024e-05	0.002475	4	4	-3.1898	1.0	1.0	0.999995	1056	0	-3.1898
MTG2	4	1.3973e-06	1.4024e-05	0.002475	5	4	-1.6095	1.0	1.0	0.999995	1055	0	-1.6095
RRM2	4	2.0638e-06	1.4024e-05	0.002475	6	2	-2.1956	0.67971	0.84625	0.999995	808	2	-2.1956
ALDOA	4	3.4102e-06	2.3373e-05	0.002475	7	3	-2.9092	0.99663	0.99672	0.999995	994	0	-2.9092
BUB3	4	4.8313e-06	2.3373e-05	0.002475	8	4	-3.175	0.99997	1.0	0.999995	1046	0	-3.175
CCND1	4	5.3055e-06	2.3373e-05	0.002475	9	4	-1.6242	0.99999	1.0	0.999995	1054	0	-1.6242
PRPF8	4	5.7329e-06	2.3373e-05	0.002475	10	4	-2.038	0.99999	1.0	0.999995	1053	0	-2.038
COPA	4	1.6241e-05	7.947e-05	0.005879	11	4	-1.8203	0.99998	1.0	0.999995	1052	0	-1.8203
PDCD6IP	4	1.8513e-05	7.947e-05	0.005879	12	4	-1.8022	0.99998	1.0	0.999995	1051	0	-1.8022
NAA10	4	1.9874e-05	7.947e-05	0.005879	13	4	-1.1454	0.99998	1.0	0.999995	1050	0	-1.1454
SF3B3	4	2.8197e-05	8.8819e-05	0.005879	14	4	-1.4501	0.99997	1.0	0.999995	1049	0	-1.4501
UQCRC1	4	3.2009e-05	8.8819e-05	0.005879	15	4	-1.1943	0.99997	1.0	0.999995	1048	0	-1.1943
INTS6	3	3.2875e-05	7.947e-05	0.005879	16	3	-3.2204	0.99997	0.99997	0.999995	1047	0	-3.2204
MRPL38	4	4.0778e-05	0.00011687	0.00728	17	4	-0.97922	0.99996	0.99999	0.999995	1045	0	-0.97922
TIMM10	4	6.4935e-05	0.00021971	0.012129	18	4	-1.1126	0.99994	0.99996	0.999995	1044	0	-1.1126
ATP6V1B2	4	6.7694e-05	0.00022906	0.012129	19	4	-1.3083	0.99993	0.99996	0.999995	1043	0	-1.3083
CHORDC1	3	7.6015e-05	0.00021971	0.012129	20	3	-2.9871	0.99992	0.99991	0.999995	1042	0	-2.9871
ZNF407	4	7.6501e-05	0.0003132	0.015794	21	4	-1.2068	0.99992	0.99994	0.999995	1041	0	-1.2068
KIF11	4	9.9438e-05	0.00046279	0.022277	22	4	-1.146	0.9999	0.9999	0.999995	1040	0	-1.146
MRPL41	4	0.00014367	0.00065913	0.030349	23	4	-1.5416	0.99986	0.99987	0.999995	1039	0	-1.5416
RPL36	4	0.00020123	0.00092091	0.036854	24	4	-1.7422	0.9998	0.99979	0.999995	1038	0	-1.7422
RPS19	4	0.00020928	0.00093026	0.036854	25	4	-1.4999	0.99979	0.99978	0.999995	1037	0	-1.4999
SNRPD3	4	0.00021318	0.00093026	0.036854	26	3	-1.9697	0.52172	0.7557	0.999995	729	1	-1.9697
ATP6V1C1	4	0.00021925	0.00093961	0.036854	27	4	-0.65616	0.99978	0.99977	0.999995	1036	0	-0.65616
NKAP	4	0.00023134	0.00099571	0.037659	28	4	-0.70821	0.99977	0.99976	0.999995	1035	0	-0.70821
ATP5F1A	4	0.00026862	0.0012388	0.043596	29	4	-0.59483	0.99973	0.99971	0.999995	1034	0	-0.59483
ATP5F1B	4	0.00027059	0.0012481	0.043596	30	4	-0.62117	0.99973	0.99971	0.999995	1033	0	-0.62117
CLTC	4	0.00028063	0.0012762	0.043596	31	4	-0.90388	0.99972	0.99971	0.999995	1032	0	-0.90388
RNF113A	4	0.00037873	0.0015754	0.052135	32	3	-1.4503	0.69076	0.85132	0.999995	816	1	-1.4503
SF3B1	4	0.00052567	0.0019587	0.061008	33	3	-1.2535	0.99818	0.99828	0.999995	1007	0	-1.2535
HSCB	4	0.00054722	0.0020615	0.062376	34	3	-1.4869	0.99813	0.99821	0.999995	1005	0	-1.4869
E2F3	3	0.00062598	0.0018091	0.058056	35	3	-1.3421	0.99937	0.99943	0.999995	1028	0	-1.3421
SBNO1	4	0.00063119	0.0021644	0.063669	36	3	-1.6107	0.51901	0.75355	0.999995	727	1	-1.6107
NDUFB4	4	0.00075872	0.0025571	0.071261	37	3	-1.2175	0.99815	0.99824	0.999995	1006	0	-1.2175
DYNLRB1	3	0.0007816	0.0022953	0.065694	38	3	-1.2589	0.99922	0.9992	0.999995	1026	0	-1.2589
TUFM	3	0.00093075	0.0027066	0.073496	39	2	-2.0838	0.91902	0.92808	0.999995	912	1	-2.0838
RPL19	4	0.0010003	0.0032115	0.083917	40	2	-1.4604	0.84292	0.92637	0.999995	884	2	-1.4604
SLC11A2	4	0.0010621	0.0033891	0.085455	41	3	-1.0289	0.99771	0.99772	0.999995	1002	0	-1.0289
CLNS1A	3	0.0011124	0.0032489	0.083917	42	3	-0.79143	0.99889	0.9988	0.999995	1019	0	-0.79143
SF3A1	4	0.0012647	0.0039595	0.097513	43	3	-1.3836	0.92558	0.95795	0.999995	913	1	-1.3836
RPL10A	4	0.0015176	0.0047448	0.111661	44	3	-1.703	0.96924	0.97427	0.999995	938	1	-1.703
RPL14	3	0.0015784	0.0045111	0.108573	45	2	-2.8683	0.98157	0.98139	0.999995	945	0	-2.8683
LONP1	4	0.0016962	0.0052871	0.119128	46	3	-0.98641	0.93317	0.95991	0.999995	920	1	-0.98641
PAF1	4	0.002089	0.0060724	0.133762	47	3	-0.88304	0.9992	0.9993	0.999995	1025	0	-0.88304
HUS1	4	0.0021597	0.0063155	0.133762	48	3	-1.0731	0.99146	0.99138	0.999995	965	0	-1.0731
SMARCA4	4	0.0022137	0.0064744	0.13444	49	3	-0.99678	0.48279	0.7222	0.999995	693	1	-0.99678
