id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	3.5976e-10	4.6747e-06	0.002475	1	8	-1.2604	1.0	1.0	0.999995	1059	0	-1.2604
RRM2	4	7.432e-07	4.6747e-06	0.002475	2	3	-1.3455	0.57742	0.57749	0.999995	607	0	-1.3455
RRM1	8	4.4853e-06	2.3373e-05	0.006188	3	8	-1.4074	0.99985	0.99987	0.999995	1051	0	-1.4074
MTG2	4	5.001e-06	2.3373e-05	0.006188	4	4	-1.0689	0.99999	1.0	0.999995	1058	0	-1.0689
POLR2L	4	1.5766e-05	7.947e-05	0.011757	5	4	-1.3997	0.99998	1.0	0.999995	1057	0	-1.3997
PRKDC	8	2.022e-05	0.00011687	0.012376	6	7	-0.81371	0.95886	0.95891	0.999995	968	0	-0.81371
BUB3	4	2.1956e-05	7.947e-05	0.011757	7	4	-1.4375	0.99992	0.99992	0.999995	1053	0	-1.4375
RPP21	4	3.044e-05	8.8819e-05	0.011757	8	4	-1.3312	0.99997	1.0	0.999995	1056	0	-1.3312
E2F3	3	3.585e-05	7.947e-05	0.011757	9	3	-1.6193	0.99996	0.99996	0.999995	1055	0	-1.6193
PRPF8	4	3.8895e-05	0.00010752	0.012376	10	4	-1.2602	0.99996	0.99999	0.999995	1054	0	-1.2602
CCND1	4	8.0076e-05	0.0003319	0.031953	11	4	-1.304	0.9999	0.9999	0.999995	1052	0	-1.304
NAE1	8	8.056e-05	0.00047214	0.041667	12	7	-0.74661	0.21727	0.21642	0.970624	230	0	-0.74661
ALDOA	4	0.00015838	0.00074328	0.059736	13	3	-1.0111	0.738	0.73763	0.999995	739	0	-1.0111
HRAS	4	0.00017134	0.00082742	0.059736	14	4	-0.74281	0.99983	0.99985	0.999995	1050	0	-0.74281
PPP4C	4	0.00017845	0.00084612	0.059736	15	3	-1.0102	0.88918	0.8892	0.999995	881	0	-1.0102
KIF11	4	0.00020603	0.00093026	0.060231	16	4	-1.0693	0.99979	0.99978	0.999995	1049	0	-1.0693
CCND3	4	0.00022958	0.00096766	0.060231	17	4	-0.81778	0.99977	0.99976	0.999995	1048	0	-0.81778
CHORDC1	3	0.00033353	0.0010238	0.060231	18	3	-1.0712	0.99967	0.99971	0.999995	1047	0	-1.0712
NMT1	4	0.00035166	0.0015286	0.083687	19	4	-0.93931	0.99965	0.99963	0.999995	1046	0	-0.93931
TOP1MT	4	0.00038447	0.0016502	0.083687	20	3	-0.97546	0.55279	0.55217	0.999995	581	0	-0.97546
TIMM10	4	0.00038664	0.0016595	0.083687	21	4	-0.8352	0.99961	0.99961	0.999995	1045	0	-0.8352
