id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	6.4099e-10	4.6703e-06	0.001238	1	8	-3.1537	1.0	1.0	0.999995	1060	0	-3.1537
MYC	8	2.7861e-09	4.6703e-06	0.001238	2	8	-1.9019	1.0	1.0	0.999995	1059	0	-1.9019
KIF11	4	2.0735e-06	4.6703e-06	0.001238	3	4	-2.8346	1.0	1.0	0.999995	1058	0	-2.8346
BUB3	4	2.5073e-06	1.4011e-05	0.00297	4	4	-3.4415	1.0	1.0	0.999995	1057	0	-3.4415
NAE1	8	2.61e-06	4.6703e-06	0.001238	5	7	-1.2196	0.9728	0.98943	0.999995	943	1	-1.2196
CKAP5	8	9.5228e-06	3.2692e-05	0.005776	6	7	-1.5809	0.99994	0.99993	0.999995	1048	0	-1.5809
SF3B3	4	9.955e-06	4.2033e-05	0.006188	7	4	-2.8086	0.99999	0.99999	0.999995	1056	0	-2.8086
RPP21	4	1.3241e-05	5.1373e-05	0.006188	8	4	-2.9195	0.99999	0.99999	0.999995	1055	0	-2.9195
RPL36	4	1.4283e-05	6.0714e-05	0.006188	9	4	-2.0459	0.99999	0.99999	0.999995	1054	0	-2.0459
CDK7	4	1.8813e-05	7.0054e-05	0.006188	10	4	-2.4946	0.99998	0.99999	0.999995	1053	0	-2.4946
ALDOA	4	1.989e-05	7.0054e-05	0.006188	11	4	-2.5047	0.99998	0.99998	0.999995	1052	0	-2.5047
POLR2L	4	2.1885e-05	7.0054e-05	0.006188	12	4	-3.1726	0.99998	0.99998	0.999995	1051	0	-3.1726
MTG2	4	3.3785e-05	8.8735e-05	0.006719	13	4	-1.6009	0.99997	0.99997	0.999995	1050	0	-1.6009
COPA	4	3.5825e-05	9.8076e-05	0.006931	14	4	-3.4588	0.99992	0.99991	0.999995	1043	0	-3.4588
INTS6	3	4.2685e-05	8.8735e-05	0.006719	15	3	-3.2728	0.99996	0.99995	0.999995	1049	0	-3.2728
RRM2	4	5.7948e-05	0.00015412	0.00961	16	2	-1.5643	0.49988	0.67515	0.999995	657	1	-1.5643
PPP4C	4	6.125e-05	0.00015412	0.00961	17	4	-1.8488	0.99994	0.99994	0.999995	1047	0	-1.8488
TOMM40	7	7.414e-05	0.00045302	0.020878	18	6	-1.2611	0.54686	0.79838	0.999995	683	1	-1.2611
ATP5F1A	4	7.5808e-05	0.00024752	0.014576	19	4	-1.613	0.99992	0.99992	0.999995	1046	0	-1.613
VMP1	4	7.9627e-05	0.00026621	0.014604	20	4	-1.926	0.99992	0.99991	0.999995	1045	0	-1.926
TOP2A	4	8.1194e-05	0.00027555	0.014604	21	4	-2.4129	0.99992	0.99991	0.999995	1044	0	-2.4129
CTR9	4	0.00010857	0.00040631	0.020509	22	4	-1.6117	0.99989	0.99989	0.999995	1042	0	-1.6117
SF3B1	4	0.00011767	0.00045302	0.020878	23	4	-1.737	0.99988	0.99988	0.999995	1041	0	-1.737
SF3A1	4	0.00014744	0.00062115	0.027129	24	3	-2.5465	0.97341	0.97375	0.999995	945	0	-2.5465
RPS19	4	0.00015603	0.00063983	0.027129	25	4	-1.7998	0.99984	0.99986	0.999995	1040	0	-1.7998
STT3B	4	0.00017627	0.00077994	0.028953	26	4	-1.3003	0.99982	0.99985	0.999995	1039	0	-1.3003
PRPF8	4	0.00017966	0.00079862	0.028953	27	4	-2.5503	0.99981	0.99983	0.999995	1036	0	-2.5503
ATP6V1C1	4	0.00018344	0.00084532	0.028953	28	4	-1.3555	0.99982	0.99984	0.999995	1038	0	-1.3555
AKIRIN2	4	0.00018636	0.000864	0.028953	29	4	-1.1923	0.99981	0.99984	0.999995	1037	0	-1.1923
CPSF3	4	0.00019688	0.00089202	0.028953	30	4	-2.1804	0.9998	0.99983	0.999995	1035	0	-2.1804
CCND1	4	0.00019997	0.00089202	0.028953	31	4	-1.4501	0.9998	0.99983	0.999995	1034	0	-1.4501
NAA10	4	0.00020105	0.00089202	0.028953	32	4	-2.0646	0.99974	0.99975	0.999995	1032	0	-2.0646
