id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	7.3565e-10	4.6747e-06	0.002475	1	8	-3.1537	1.0	1.0	0.999995	1059	0	-3.1537
MYC	8	3.1976e-09	4.6747e-06	0.002475	2	8	-1.9019	1.0	1.0	0.999995	1058	0	-1.9019
KIF11	4	2.2214e-06	1.4024e-05	0.003713	3	4	-2.8346	1.0	1.0	0.999995	1057	0	-2.8346
BUB3	4	2.6243e-06	2.3373e-05	0.00495	4	4	-3.4415	1.0	1.0	0.999995	1056	0	-3.4415
NAE1	8	2.9383e-06	1.4024e-05	0.003713	5	7	-1.2196	0.97214	0.98878	0.999995	943	1	-1.2196
CKAP5	8	1.053e-05	5.1422e-05	0.007591	6	7	-1.5809	0.99993	0.99996	0.999995	1047	0	-1.5809
SF3B3	4	1.0665e-05	6.0771e-05	0.007591	7	4	-2.8086	0.99999	1.0	0.999995	1055	0	-2.8086
RPP21	4	1.4185e-05	7.947e-05	0.007591	8	4	-2.9195	0.99999	1.0	0.999995	1054	0	-2.9195
RPL36	4	1.5302e-05	7.947e-05	0.007591	9	4	-2.0459	0.99998	1.0	0.999995	1053	0	-2.0459
CDK7	4	2.0155e-05	7.947e-05	0.007591	10	4	-2.4946	0.99998	1.0	0.999995	1052	0	-2.4946
ALDOA	4	2.1308e-05	7.947e-05	0.007591	11	4	-2.5047	0.99998	1.0	0.999995	1051	0	-2.5047
POLR2L	4	2.3445e-05	8.8819e-05	0.007591	12	4	-3.1726	0.99998	1.0	0.999995	1050	0	-3.1726
MTG2	4	3.6194e-05	0.00010752	0.007591	13	4	-1.6009	0.99996	1.0	0.999995	1049	0	-1.6009
COPA	4	3.7714e-05	0.00010752	0.007591	14	4	-3.4588	0.99991	0.99991	0.999995	1042	0	-3.4588
INTS6	3	4.4947e-05	9.8168e-05	0.007591	15	3	-3.2728	0.99996	0.99995	0.999995	1048	0	-3.2728
RRM2	4	5.9974e-05	0.00021036	0.013687	16	2	-1.5643	0.49864	0.67424	0.999995	656	1	-1.5643
PPP4C	4	6.5617e-05	0.00021971	0.013687	17	4	-1.8488	0.99993	0.99996	0.999995	1046	0	-1.8488
ATP5F1A	4	8.1213e-05	0.00034125	0.020077	18	4	-1.613	0.99992	0.99992	0.999995	1045	0	-1.613
TOMM40	7	8.1996e-05	0.00049084	0.024752	19	6	-1.2611	0.54679	0.79633	0.999995	682	1	-1.2611
VMP1	4	8.5304e-05	0.0003693	0.020545	20	4	-1.926	0.99991	0.99991	0.999995	1044	0	-1.926
TOP2A	4	8.6983e-05	0.000388	0.020545	21	4	-2.4129	0.99991	0.99991	0.999995	1043	0	-2.4129
CTR9	4	0.00011631	0.00054694	0.026328	22	4	-1.6117	0.99988	0.99988	0.999995	1041	0	-1.6117
SF3B1	4	0.00012606	0.00059369	0.027335	23	4	-1.737	0.99987	0.99988	0.999995	1040	0	-1.737
SF3A1	4	0.00015838	0.00074328	0.030453	24	3	-2.5465	0.97235	0.97248	0.999995	944	0	-2.5465
RPS19	4	0.00016578	0.00079937	0.030453	25	4	-1.7998	0.99983	0.99986	0.999995	1039	0	-1.7998
STT3B	4	0.00018884	0.00087417	0.030453	26	4	-1.3003	0.99981	0.99982	0.999995	1038	0	-1.3003
PRPF8	4	0.00018909	0.00087417	0.030453	27	4	-2.5503	0.99979	0.99978	0.999995	1035	0	-2.5503
ATP6V1C1	4	0.00019652	0.00092091	0.030453	28	4	-1.3555	0.9998	0.9998	0.999995	1037	0	-1.3555
AKIRIN2	4	0.00019965	0.00092091	0.030453	29	4	-1.1923	0.9998	0.99979	0.999995	1036	0	-1.1923
CPSF3	4	0.00021092	0.00093026	0.030453	30	4	-2.1804	0.99979	0.99978	0.999995	1034	0	-2.1804
NAA10	4	0.0002116	0.00093026	0.030453	31	4	-2.0646	0.99972	0.9997	0.999995	1031	0	-2.0646
CCND1	4	0.00021422	0.00093026	0.030453	32	4	-1.4501	0.99979	0.99977	0.999995	1033	0	-1.4501
NAA15	4	0.00022266	0.00094896	0.030453	33	4	-2.461	0.99978	0.99976	0.999995	1032	0	-2.461
SNRPD3	4	0.0002663	0.0012201	0.038002	34	3	-2.4085	0.32341	0.54634	0.999995	553	1	-2.4085
WDR12	4	0.0002994	0.0013416	0.040567	35	4	-1.6023	0.9997	0.99968	0.999995	1030	0	-1.6023
ZNF407	4	0.00031243	0.001379	0.040567	36	4	-1.7117	0.99969	0.99967	0.999995	1029	0	-1.7117
EIF3B	4	0.0003971	0.0016689	0.046509	37	4	-1.6543	0.9996	0.9996	0.999995	1028	0	-1.6543
TOP1	4	0.00039974	0.0016689	0.046509	38	4	-1.6657	0.9996	0.9996	0.999995	1027	0	-1.6657
ACACA	4	0.00045846	0.0018465	0.05014	39	4	-1.9431	0.99954	0.99957	0.999995	1026	0	-1.9431
TSG101	4	0.00049478	0.0019961	0.051799	40	4	-0.82953	0.99951	0.99954	0.999995	1025	0	-0.82953
RIC8A	4	0.00049791	0.0020054	0.051799	41	4	-1.6715	0.9995	0.99954	0.999995	1024	0	-1.6715
CLTC	4	0.00052341	0.002127	0.05363	42	4	-1.7033	0.99948	0.99952	0.999995	1023	0	-1.7033
ISCA2	4	0.00058086	0.0023046	0.054675	43	4	-1.116	0.99942	0.99948	0.999995	1022	0	-1.116
CDIPT	4	0.000589	0.002314	0.054675	44	3	-1.8231	0.71346	0.83015	0.999995	796	1	-1.8231
ATP5F1B	4	0.00059504	0.0023233	0.054675	45	4	-1.3172	0.9994	0.99947	0.999995	1021	0	-1.3172
MED18	8	0.00061674	0.0030993	0.063309	46	6	-1.0504	0.22632	0.50797	0.999995	454	2	-1.0504
ACTL6A	4	0.0007042	0.0027814	0.060693	47	3	-2.5298	0.32899	0.55357	0.999995	562	1	-2.5298
MED20	4	0.00073462	0.0028656	0.060693	48	4	-1.4706	0.99927	0.99937	0.999995	1020	0	-1.4706
CHORDC1	3	0.00083661	0.0024168	0.055639	49	3	-2.697	0.99916	0.99914	0.999995	1019	0	-2.697
TIMM10	4	0.00087334	0.0033705	0.067345	50	4	-1.3105	0.99913	0.99926	0.999995	1018	0	-1.3105
ILF3	4	0.00092243	0.0035013	0.067417	51	3	-1.9746	0.83914	0.87613	0.999995	842	1	-1.9746
CLNS1A	3	0.00096109	0.0027908	0.060693	52	3	-1.6359	0.99904	0.99899	0.999995	1017	0	-1.6359
HMGCS1	3	0.00097487	0.0028095	0.060693	53	3	-2.7948	0.99903	0.99897	0.999995	1016	0	-2.7948
TRRAP	4	0.00099881	0.0037351	0.068539	54	4	-1.527	0.999	0.99917	0.999995	1015	0	-1.527
THRAP3	4	0.0010094	0.0037538	0.068539	55	4	-0.78914	0.99899	0.99916	0.999995	1014	0	-0.78914
RPL3	7	0.001058	0.0048477	0.080213	56	4	-1.3759	0.041147	0.15003	0.767365	168	3	-1.3759
PAF1	4	0.0010803	0.0041091	0.07269	57	4	-1.0534	0.99892	0.99909	0.999995	1013	0	-1.0534
DYNLRB1	3	0.0010824	0.0031087	0.063309	58	3	-1.9241	0.99892	0.99885	0.999995	1012	0	-1.9241
POLR2B	4	0.0010962	0.0041184	0.07269	59	3	-2.3465	0.042942	0.1262	0.74913	174	1	-2.3465
